Marker,Cell Type
Satb2,Pan-Cortical / All cortical / general
Crym,CST
Sim1,Hypothalamus - paraventricular
Plagl1,Hypothalamus - lateral
Ttc6,Red Nucleus
Cartpt,Edinger Westphal
Ebf2,PAG
Slc6a2,Locus Coeruleus
Prdm6,Dorsal Pons
Tph2,Raphe
Gad2,Gabaergic (probably brainstem)
Daam2,Brainstem - type 1
Pard3b,Brainstem - type 2
Col19a1,Brainstem - type 3
Nox4,Brainstem - type 4
Pappa,Brainstem - type 5
Lhx4,All brainstem
Hoxc4,All brainstem
Hoxd4,All brainstem
Hoxa3,All brainstem
Hoxb3,All brainstem
Hoxd3,All brainstem
