Cluster,Marker
CST,Etv1
CST,Crym
CST,Satb2
CST,Ccnd2
CST,Spata16
PVH,Sim1
PVH,Cntnap3
PVH,Otp
PVH,Vgll3
PVH,Plscr4
LH,Plagl1
LH,Ros1
LH,Csta2
LH,Rfx2
LH,Slc25a48
RN,Ttc6
RN,Tnni3k
RN,Emx2os
RN,Cyyr1
RN,Wipf1
RN,Adamtsl5
EW,Cartpt
EW,Tlx3
EW,Nostrin
EW,Hs3st3b1
EW,Crhbp
PAG,Ebf2
LC,Slc6a2
LC,Dbh
LC,Th
LC,Igsf5
LC,Tshr
LC,Lrrc36
DP,Prdm6
DP,Crh
DP,Nlrp12
Raphe,Tph2
Raphe,Slc6a4
Raphe,Trh
Raphe,Maob
Raphe,Slc22a3
Inhib,Gad2
Inhib,Slc6a5
Inhib,Slc32a1
Inhib,Gad1
HB-1-Daam2,Daam2
HB-1-Daam2,Tfap2a
HB-1-Daam2,Col5a2
HB-1-Daam2,Dmbx1
HB-2-Pard3b,Pard3b
HB-2-Pard3b,Arsj
HB-2-Pard3b,Crp
HB -3-Col19a1,Col19a1
HB -3-Col19a1,St18
HB -3-Col19a1,Syt10
HB-4-Nox4,Nox4
HB-4-Nox4,Sox14
HB-5-Pappa,Pappa
