X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,-0.024467719,0.005,0.007,1
Marc2,0.116710439,0.115,0.116,1
A1bg,-0.293724236,0.002,0.003,1
A1cf,-0.0370204,0.004,0.004,1
A26c2,-0.039793788,0.047,0.048,1
A2m,-0.040045395,0.018,0.02,1
A2ml1,-0.215609003,0.025,0.031,1
A3galt2,-0.264456924,0.014,0.02,1
A4galt,-0.084690304,0.004,0.004,1
A4gnt,-1.925188886,0.006,0.012,1
Aaas,-0.11967055,0.137,0.16,1
Aacs,-0.08604056,0.354,0.391,1
Aadac,0,0,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,0.343632536,0.006,0.009,1
Aaed1,0,0,0,1
Aagab,-0.024154956,0.574,0.589,1
Aak1,0.227311363,0.928,0.915,6.34E-47
Aamdc,0.273464729,0.247,0.227,1
Aamp,-0.09125647,0.208,0.223,1
Aanat,-0.016340602,0.038,0.042,1
Aar2,-0.007982026,0.163,0.178,1
Aard,-0.027780872,0.07,0.074,1
Aars,0.192294919,0.399,0.383,1
Aars2,-0.184321417,0.11,0.133,1
Aarsd1,0.00542224,0.307,0.34,1
Aasdh,-0.105737565,0.193,0.223,1
Aasdhppt,-0.097332009,0.171,0.202,0.496904157
Aass,-2.046800582,0.003,0.009,0.036272626
Aatf,0.035532655,0.533,0.544,1
Aatk,-0.041201218,0.452,0.48,1
AB041806,-0.101614527,0.039,0.055,0.32277483
AB124611,-0.029566084,0.036,0.044,1
Abat,-0.057662779,0.546,0.565,1
Abca1,0.339941252,0.067,0.058,1
Abca12,0.030849849,0.008,0.008,1
Abca13,0.371852402,0.026,0.023,1
Abca14,-0.373061488,0.009,0.013,1
Abca15,-0.145884997,0.005,0.006,1
Abca16,-0.814286396,0.003,0.005,1
Abca17,-0.300268256,0.199,0.255,3.15E-10
Abca2,-0.291566723,0.342,0.407,5.99E-10
Abca3,-0.026323111,0.646,0.66,1
Abca4,-0.109989462,0.071,0.081,1
Abca5,0.178751291,0.641,0.629,0.000109896
Abca6,-0.112752341,0.096,0.108,1
Abca7,-0.176259969,0.3,0.355,0.0000035
Abca8a,0.129607759,0.023,0.025,1
Abca8b,0.249622349,0.338,0.312,0.111050532
Abca9,-0.085705919,0.05,0.056,1
Abcb10,-0.612435427,0.298,0.385,5.69E-26
Abcb11,0.055990713,0.003,0.004,1
Abcb1a,0.402224953,0.014,0.014,1
Abcb1b,0.082262536,0.157,0.155,1
Abcb4,0.105714559,0.253,0.246,1
Abcb5,-0.329050271,0.049,0.066,0.336109464
Abcb6,-0.547114939,0.062,0.092,0.000000333
Abcb7,-0.033836376,0.356,0.379,1
Abcb8,-0.079222742,0.175,0.196,1
Abcb9,-0.205725818,0.375,0.43,0.0000239
Abcc1,0.107179285,0.408,0.414,1
Abcc10,-0.500555542,0.144,0.204,1.93E-16
Abcc12,-0.320875399,0.012,0.017,1
Abcc2,0.365076989,0.008,0.007,1
Abcc3,-0.348811271,0.012,0.017,1
Abcc4,-0.078300228,0.252,0.276,1
Abcc5,-0.002473448,0.836,0.844,1
Abcc6,-1.165764769,0.01,0.02,0.002697847
Abcc8,-0.011021483,0.254,0.282,1
Abcc9,0.722396147,0.006,0.005,1
Abcd1,-0.128595856,0.118,0.133,1
Abcd2,-0.19783228,0.201,0.245,0.0000913
Abcd3,-0.023568821,0.395,0.422,1
Abcd4,-0.114248687,0.347,0.381,1
Abce1,-0.127367151,0.38,0.422,0.059262342
Abcf1,-0.113080724,0.413,0.464,0.017247882
Abcf2,-0.093007504,0.121,0.14,1
Abcf3,-0.013541786,0.209,0.224,1
Abcg1,0.104729186,0.327,0.335,1
Abcg2,0.085745974,0.083,0.085,1
Abcg3,-0.540714842,0.002,0.003,1
Abcg4,-0.100249871,0.156,0.164,1
Abcg5,1.519440686,0.001,0.001,1
Abcg8,0.276590313,0.005,0.004,1
Abhd1,0,0,0,1
Abhd10,-0.115159359,0.263,0.299,1
Abhd11,-0.767686255,0.073,0.119,5.55E-17
Abhd12,0.010831601,0.68,0.689,1
Abhd12b,-0.671925777,0.003,0.006,1
Abhd13,0.030781852,0.069,0.076,1
Abhd14a,-0.429497718,0.168,0.219,8.56E-11
Abhd14b,-0.1617891,0.213,0.241,1
Abhd15,0.325450403,0.048,0.033,0.080703549
Abhd16a,-0.192878954,0.244,0.289,0.000957153
Abhd16b,0,0,0,1
Abhd17a,-0.340686241,0.185,0.24,7.39E-11
Abhd17b,0.08016043,0.58,0.582,1
Abhd17c,0.182713974,0.204,0.192,1
Abhd18,0.003454404,0.763,0.776,1
Abhd2,0.083568281,0.529,0.541,1
Abhd3,0.002197068,0.318,0.336,1
Abhd4,-0.676429696,0.084,0.116,0.00000247
Abhd5,-0.015405598,0.107,0.112,1
Abhd6,0.368172055,0.523,0.474,7.05E-18
