X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.035496612,0.005,0.006,1
Marc2,0.165600346,0.104,0.111,1
A1bg,0.178758616,0.002,0.003,1
A1cf,0.331549501,0.005,0.003,1
A26c2,-0.035073216,0.082,0.089,1
A2m,-1.214357104,0,0.001,1
A2ml1,-0.482357222,0.022,0.032,1
A3galt2,-0.337920313,0.019,0.029,1
A4galt,-0.61839611,0.003,0.003,1
A4gnt,-1.77765456,0.008,0.016,1
Aaas,-0.137567919,0.171,0.203,1
Aacs,-0.123398064,0.396,0.446,1
Aadac,0,0,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,-0.086837536,0.004,0.009,1
Aaed1,0,0,0,1
Aagab,-0.025872263,0.719,0.748,1
Aak1,0.282877403,0.981,0.974,2.69E-58
Aamdc,0.452573668,0.308,0.275,0.200661173
Aamp,-0.184727084,0.227,0.26,1
Aanat,-0.074252081,0.031,0.037,1
Aar2,-0.012303928,0.168,0.192,1
Aard,0.124869159,0.06,0.059,1
Aars,0.177448369,0.473,0.467,1
Aars2,-0.26290272,0.127,0.159,1
Aarsd1,-0.149905237,0.297,0.353,0.467995514
Aasdh,-0.141120244,0.217,0.266,0.311196854
Aasdhppt,-0.129197474,0.186,0.222,1
Aass,-2.62646878,0.003,0.012,0.043367932
Aatf,0.019201273,0.607,0.632,1
Aatk,0.029617125,0.517,0.544,1
AB041806,-0.531546882,0.031,0.052,0.172395139
AB124611,-0.09762035,0.036,0.046,1
Abat,0.029088077,0.545,0.562,1
Abca1,0.652556552,0.068,0.054,1
Abca12,-0.757965621,0.003,0.006,1
Abca13,-0.028854416,0.02,0.022,1
Abca14,-0.62631608,0.017,0.025,1
Abca15,-0.376500826,0.007,0.011,1
Abca16,-1.260339415,0.003,0.006,1
Abca17,-0.400583747,0.328,0.439,9.23E-16
Abca2,-0.327725459,0.37,0.453,0.00000136
Abca3,0.016671546,0.739,0.758,1
Abca4,-0.073829005,0.12,0.14,1
Abca5,0.273022836,0.722,0.706,9.05E-08
Abca6,-0.200889808,0.099,0.117,1
Abca7,-0.350337311,0.358,0.46,3.64E-12
Abca8a,0.123170435,0.029,0.032,1
Abca8b,0.341610648,0.241,0.221,1
Abca9,-0.319220792,0.051,0.066,1
Abcb10,-1.011494718,0.304,0.448,1.47E-39
Abcb11,0.649585123,0.004,0.004,1
Abcb1a,0.209995661,0.009,0.011,1
Abcb1b,0.015013722,0.177,0.181,1
Abcb4,0.225382816,0.312,0.291,1
Abcb5,-0.695632961,0.005,0.007,1
Abcb6,-0.549715543,0.081,0.119,0.002556107
Abcb7,-0.12477969,0.382,0.422,1
Abcb8,-0.19964301,0.182,0.22,1
Abcb9,-0.266163282,0.508,0.601,2.42E-08
Abcc1,0.105643277,0.476,0.49,1
Abcc10,-0.508847091,0.156,0.229,2.26E-10
Abcc12,-0.542041311,0.018,0.029,1
Abcc2,0.727120777,0.008,0.006,1
Abcc3,-0.447339518,0.012,0.022,1
Abcc4,-0.120847633,0.265,0.302,1
Abcc5,-0.010002927,0.863,0.884,1
Abcc6,-1.637795871,0.008,0.022,0.026310932
Abcc8,-0.153267017,0.279,0.338,0.07522086
Abcc9,0.761928987,0.003,0.002,1
Abcd1,-0.050137622,0.143,0.161,1
Abcd2,-0.328118437,0.279,0.369,3.36E-10
Abcd3,-0.045280115,0.435,0.487,1
Abcd4,-0.055691136,0.3,0.331,1
Abce1,-0.180663978,0.462,0.52,0.255689299
Abcf1,-0.189158676,0.518,0.601,0.000032
Abcf2,-0.00430556,0.153,0.177,1
Abcf3,-0.166922334,0.208,0.243,1
Abcg1,0.19174609,0.422,0.427,1
Abcg2,0.022809958,0.105,0.118,1
Abcg3,0.119694547,0.003,0.002,1
Abcg4,0.21065504,0.141,0.137,1
Abcg5,1.457704315,0.001,0,1
Abcg8,-0.07571298,0.002,0.002,1
Abhd1,0,0,0,1
Abhd10,-0.111094557,0.254,0.296,1
Abhd11,-0.724009388,0.063,0.107,0.000000353
Abhd12,-0.00768343,0.819,0.837,1
Abhd12b,0.068105585,0.001,0.002,1
Abhd13,-0.007727587,0.086,0.094,1
Abhd14a,-0.365346758,0.247,0.306,0.000805176
Abhd14b,-0.097968619,0.156,0.187,1
Abhd15,1.146478034,0.057,0.033,0.009335204
Abhd16a,-0.354346197,0.242,0.314,0.00000111
Abhd16b,0,0,0,1
Abhd17a,-0.450095679,0.222,0.299,5.53E-09
Abhd17b,0.012593691,0.64,0.669,1
Abhd17c,0.206852369,0.286,0.272,1
Abhd18,0.007389569,0.792,0.813,1
Abhd2,0.118452874,0.726,0.75,1
Abhd3,-0.042677343,0.355,0.396,1
Abhd4,-1.235184659,0.064,0.105,0.00000264
Abhd5,-0.075443137,0.135,0.145,1
Abhd6,0.486025585,0.64,0.576,1.91E-24
Abhd8,-0.337291334,0.175,0.241,0.00000347
Abi1,0.141230089,0.79,0.783,0.571651186
Abi2,-0.052001332,0.864,0.888,1
Abi3,0.353687238,0.003,0.003,1
Abi3bp,1.050671606,0.059,0.037,0.114449074
Abitram,-0.270725856,0.143,0.184,0.133771026
Abl1,0.046992838,0.565,0.594,1
Abl2,0.202882396,0.854,0.843,2.07E-12
Ablim1,-0.036873847,0.9,0.924,1
Ablim2,0.036450038,0.861,0.867,1
Ablim3,0.105447205,0.3,0.313,1
Abo,-2.396002461,0.002,0.011,0.179628464
Abr,0.178973264,0.964,0.951,1.11E-19
Abra,0.431603087,0.065,0.054,1
Abracl,-0.468471604,0.14,0.199,0.000000996
Abraxas1,-0.276818112,0.165,0.209,0.056759369
Abraxas2,-0.152296483,0.258,0.299,1
Abt1,-0.102169872,0.024,0.036,1
Abtb1,-0.345899101,0.136,0.174,0.378427136
Abtb2,-0.23308723,0.026,0.032,1
Acaa1a,-0.401954281,0.301,0.381,1.13E-08
Acaa1b,-0.362932295,0.01,0.013,1
Acaa2,-0.041052834,0.042,0.047,1
Acaca,0.075055933,0.853,0.862,1
Acacb,-0.925383776,0.046,0.078,0.000160628
Acad10,-0.012999703,0.304,0.344,1
Acad11,-0.018929436,0.355,0.394,1
Acad12,-0.226030966,0.065,0.094,0.212594998
Acad8,0.361861204,0.227,0.204,1
Acad9,-0.0312816,0.193,0.22,1
Acadl,0.567839309,0.031,0.025,1
Acadm,-0.309508762,0.168,0.231,0.00000414
Acads,-0.288606697,0.026,0.039,1
Acadsb,0.300389322,0.513,0.492,0.032605924
Acadvl,-0.656660537,0.164,0.253,4.58E-16
Acan,-0.388729672,0.003,0.003,1
Acap1,-0.209714291,0.002,0.003,1
Acap2,0.015749206,0.967,0.97,1
Acap3,-0.199224861,0.362,0.424,0.197673891
Acat1,-0.096251629,0.778,0.818,1
Acat2,-0.164632499,0.228,0.274,0.547986832
Acat3,-0.327485561,0.017,0.023,1
Acbd3,-0.04193979,0.347,0.38,1
Acbd4,-0.140720699,0.146,0.175,1
Acbd5,-0.15735108,0.487,0.553,0.170555623
Acbd6,0.079443398,0.857,0.856,1
Acbd7,-0.157059293,0.002,0.003,1
Accs,-0.065912862,0.011,0.013,1
Accsl,-0.597421977,0.009,0.01,1
Acd,-0.420426325,0.13,0.188,0.00000404
Ace,-0.274024642,0.005,0.009,1
Ace2,-2.876509356,0,0.001,1
Ace3,0,0,0,1
Acer1,0.362168035,0.002,0.002,1
Acer2,0.652264541,0.028,0.018,1
Acer3,-0.032015999,0.601,0.628,1
Ache,-0.970531047,0.082,0.167,5.24E-23
Acin1,-0.12967563,0.816,0.841,0.007683451
Ackr1,-0.504738419,0.075,0.112,0.001681798
Ackr2,-0.126127525,0.002,0.002,1
Ackr3,2.021223645,0.002,0.001,1
Ackr4,0.1634641,0.297,0.299,1
Acly,-0.194959889,0.257,0.308,0.447518515
Acmsd,0.218046494,0.066,0.065,1
Acnat1,0.190278814,0.005,0.006,1
Acnat2,0.311673061,0.002,0.002,1
Aco1,-0.168620694,0.206,0.237,1
Aco2,-0.067750531,0.707,0.749,1
Acod1,-0.725795267,0,0.001,1
Acot1,-0.522782658,0.003,0.003,1
Acot10,1.036190464,0.003,0.002,1
Acot11,-0.885023294,0.025,0.038,1
Acot12,-0.355628587,0.012,0.019,1
Acot13,-0.016241206,0.383,0.421,1
Acot2,0.575911706,0.012,0.009,1
Acot3,0.856020105,0.003,0.002,1
Acot4,-0.142725221,0.009,0.012,1
Acot5,-0.30192804,0.008,0.012,1
Acot6,0.049006408,0.01,0.01,1
Acot7,-0.174705233,0.667,0.73,0.0000966
Acot8,-0.025222509,0.204,0.225,1
Acot9,-0.17715214,0.161,0.192,1
Acox1,0.174085198,0.553,0.55,1
Acox2,0.804897162,0.074,0.051,0.728228124
Acox3,-0.002704475,0.138,0.141,1
Acoxl,-1.797340678,0.013,0.023,1
Acp1,-0.106179101,0.943,0.944,0.000653113
Acp2,0.15698622,0.19,0.182,1
Acp4,0.920944792,0.004,0.003,1
Acp5,-0.828803087,0.001,0.002,1
Acp6,-0.32573807,0.218,0.266,0.184175823
Acp7,-0.21562941,0.055,0.074,1
Acpp,-2.106012184,0.018,0.061,3.05E-17
Acr,0.497118845,0.134,0.097,0.006917524
Acrbp,0.072775065,0.106,0.112,1
Acrv1,0.485600484,0.018,0.014,1
Acsbg1,0.667550375,0.01,0.006,1
Acsbg2,0.227700881,0.003,0.003,1
Acsf2,0.147082926,0.006,0.005,1
Acsf3,0.135284893,0.074,0.071,1
Acsl1,-0.004444113,0.642,0.676,1
Acsl3,-0.202056928,0.348,0.426,0.000113826
Acsl4,0.018169796,0.588,0.607,1
Acsl5,-0.271416244,0.143,0.176,1
Acsl6,-0.033270487,0.771,0.8,1
Acsm1,1.766994196,0.001,0,1
Acsm2,-0.383066096,0.001,0.002,1
Acsm3,0.754528109,0.01,0.007,1
Acsm4,0.468184,0.001,0.001,1
Acsm5,0,0,0,1
Acss1,0.906405521,0.285,0.191,1.83E-21
Acss2,0.202630804,0.804,0.79,0.000022
Acss2os,0.796134562,0.17,0.121,0.00000309
Acss3,0.384917083,0.018,0.017,1
Acta1,-1.07138967,0.027,0.052,0.000756457
Acta2,1.343040006,0.004,0.002,1
Actb,-0.506788705,0.531,0.659,3.93E-27
Actbl2,0,0,0,1
Actc1,0,0,0,1
Acte1,-0.479648903,0.002,0.003,1
