X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.013418638,0.493,0.497,1
Marc2,-0.006828203,0.435,0.524,1
A1bg,0.122349358,0.052,0.059,1
A1cf,0.044875355,0.002,0.002,1
A26c2,0.050756065,0.113,0.14,1
A2m,0.15764134,0.167,0.2,1
A2ml1,0,0,0,1
A3galt2,0.693487882,0.002,0,1
A4galt,-0.694898743,0.141,0.265,0.172114076
A4gnt,-0.559272813,0.004,0.008,1
Aaas,0.36809022,0.217,0.2,1
Aacs,0.061545512,0.37,0.444,1
Aadac,0.210513865,0.012,0.013,1
Aadacl2,1.548166941,0.002,0,1
Aadacl3,1.76745393,0.004,0,1
Aadacl4,0,0,0,1
Aadat,0.088619632,0.012,0.013,1
Aaed1,0,0,0,1
Aagab,-0.544417726,0.058,0.098,1
Aak1,0,0,0,1
Aamdc,-0.040377903,0.155,0.202,1
Aamp,0,0,0,1
Aanat,-0.247345214,0.338,0.425,1
Aar2,-0.558445267,0.062,0.123,1
Aard,0,0,0,1
Aars,0,0,0,1
Aars2,-0.743469525,0.076,0.144,1
Aarsd1,-0.899060862,0,0.002,1
Aasdh,-0.951922631,0.012,0.032,1
Aasdhppt,-0.92266137,0.026,0.055,1
Aass,0.264286525,0.175,0.193,1
Aatf,0,0,0,1
Aatk,1.655775344,0.014,0.004,1
AB041806,0.116668476,0.135,0.146,1
AB124611,-0.823966231,0.012,0.032,1
Abat,0.025940225,0.583,0.703,1
Abca1,0,0,0,1
Abca12,0.257254413,0.276,0.31,1
Abca13,-0.726166695,0,0.002,1
Abca14,-0.38569667,0,0.002,1
Abca15,0,0,0,1
Abca16,-0.742846071,0.004,0.008,1
Abca17,0,0,0,1
Abca2,-0.450008472,0.05,0.081,1
Abca3,1.138093055,0.008,0.004,1
Abca4,0.838230016,0.004,0.002,1
Abca5,-0.428765897,0.012,0.021,1
Abca6,0.640555512,0.006,0.004,1
Abca7,0,0,0,1
Abca8a,-0.000440102,0.117,0.159,1
Abca8b,-1.382456382,0.002,0.006,1
Abca9,-1.634331841,0.002,0.008,1
Abcb10,0,0,0,1
Abcb11,0,0,0,1
Abcb1a,-2.030685874,0.006,0.03,1
Abcb1b,0,0,0,1
Abcb4,0.615529456,0.002,0,1
Abcb5,0.456045945,0.062,0.072,1
Abcb6,-2.820193804,0.002,0.015,1
Abcb7,0,0,0,1
Abcb8,0.806368851,0.002,0.002,1
Abcb9,-0.695471798,0.034,0.059,1
Abcc1,0.687702861,0.002,0,1
Abcc10,0,0,0,1
Abcc12,0,0,0,1
Abcc2,0,0,0,1
Abcc3,0,0,0,1
Abcc4,0,0,0,1
Abcc5,0.820059104,0.002,0,1
Abcc6,0.360730873,0.062,0.066,1
Abcc8,-1.33485661,0,0.002,1
Abcc9,0,0,0,1
Abcd1,0,0,0,1
Abcd2,-0.646059615,0,0.002,1
Abcd3,0.818024175,0.002,0,1
Abcd4,-0.476305877,0,0.002,1
Abce1,0,0,0,1
Abcf1,0,0,0,1
Abcf2,-0.158551128,0.012,0.017,1
Abcf3,-0.539841699,0,0.002,1
Abcg1,-0.355000728,0.02,0.023,1
Abcg2,0,0,0,1
Abcg3,0,0,0,1
Abcg4,-2.631200738,0,0.004,1
Abcg5,0,0,0,1
Abcg8,-1.520533809,0.01,0.03,1
Abhd1,0,0,0,1
Abhd10,0,0,0,1
Abhd11,0,0,0,1
Abhd12,-1.610906538,0,0.002,1
Abhd12b,-1.781322079,0.002,0.002,1
Abhd13,0,0,0,1
Abhd14a,-0.177997851,0.032,0.057,1
Abhd14b,0,0,0,1
Abhd15,0,0,0,1
Abhd16a,0.179862671,0.014,0.011,1
Abhd16b,-1.586219726,0,0.002,1
Abhd17a,-1.12123584,0,0.004,1
Abhd17b,0,0,0,1
Abhd17c,0,0,0,1
Abhd18,-0.462836706,0.185,0.301,1
Abhd2,0,0,0,1
Abhd3,-1.525834886,0.004,0.013,1
Abhd4,0.451651664,0.01,0.006,1
Abhd5,0,0,0,1
Abhd6,-0.184140381,0.002,0.002,1
Abhd8,-0.055127474,0.002,0.002,1
Abi1,0.606179907,0.706,0.675,0.048541745
Abi2,0,0,0,1
Abi3,0,0,0,1
Abi3bp,0,0,0,1
Abitram,1.369667425,0.006,0,1
Abl1,0,0,0,1
Abl2,0,0,0,1
Ablim1,0,0,0,1
Ablim2,0,0,0,1
Ablim3,0,0,0,1
Abo,0,0,0,1
Abr,0.274940995,0.014,0.017,1
Abra,0.485347276,0.006,0.004,1
Abracl,0,0,0,1
Abraxas1,2.623883857,0.008,0,1
Abraxas2,0.947885604,0.004,0.002,1
Abt1,-1.101806511,0,0.002,1
Abtb1,-0.000532303,0.105,0.14,1
Abtb2,0,0,0,1
Acaa1a,-1.048907155,0.002,0.008,1
Acaa1b,0,0,0,1
Acaa2,0,0,0,1
Acaca,0.846056575,0.002,0,1
Acacb,-1.2882752,0,0.004,1
Acad10,0.506135183,0.014,0.011,1
Acad11,0,0,0,1
Acad12,1.723927449,0.004,0,1
Acad8,0.81734751,0.052,0.053,1
Acad9,0,0,0,1
Acadl,-0.408149999,0.01,0.019,1
Acadm,-1.750653064,0,0.006,1
Acads,0,0,0,1
Acadsb,-2.957347863,0.002,0.008,1
Acadvl,-0.877993733,0.002,0.002,1
Acan,0.417826146,0.02,0.019,1
Acap1,0,0,0,1
Acap2,0.693046264,0.018,0.015,1
Acap3,0,0,0,1
Acat1,-0.275294361,0.014,0.019,1
Acat2,-0.933897753,0.006,0.006,1
Acat3,0,0,0,1
Acbd3,0,0,0,1
Acbd4,-1.242307645,0.004,0.011,1
Acbd5,0,0,0,1
Acbd6,0,0,0,1
Acbd7,0.489218898,0.002,0,1
Accs,0,0,0,1
Accsl,0.403578653,0.042,0.038,1
Acd,0,0,0,1
Ace,-2.112739254,0,0.008,1
Ace2,0,0,0,1
Ace3,0,0,0,1
Acer1,0,0,0,1
Acer2,-0.418425377,0.002,0.002,1
Acer3,0,0,0,1
Ache,-0.427542695,0.034,0.064,1
Acin1,0,0,0,1
Ackr1,0,0,0,1
Ackr2,0,0,0,1
Ackr3,0,0,0,1
Ackr4,0,0,0,1
Acly,0.305320669,0.018,0.021,1
Acmsd,0.833679365,0.006,0.004,1
Acnat1,0,0,0,1
