X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,-0.032118275,0.003,0.007,1
Marc2,-0.020999198,0.106,0.099,1
A1bg,-2.100886492,0,0.004,1
A1cf,0.583527563,0.003,0,1
A26c2,-0.183172516,0.003,0.004,1
A2m,0.448445324,0.003,0,1
A2ml1,1.315421379,0.01,0.004,1
A3galt2,-0.421835517,0.006,0.011,1
A4galt,1.962984466,0.013,0,1
A4gnt,-6.371119206,0.003,0.018,1
Aaas,-1.145570699,0.061,0.11,1
Aacs,0.704714187,0.251,0.202,1
Aadac,0,0,0,1
Aadacl2,0.766198044,0.003,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,1.713082784,0.013,0.004,1
Aaed1,0,0,0,1
Aagab,0.355663968,0.389,0.279,1
Aak1,0.206937703,0.83,0.757,1
Aamdc,-0.108555859,0.167,0.169,1
Aamp,0.059114443,0.196,0.173,1
Aanat,-0.000227528,0.035,0.033,1
Aar2,-0.191699561,0.109,0.129,1
Aard,-0.844259168,0.045,0.066,1
Aars,0.216718171,0.222,0.188,1
Aars2,0.324799393,0.071,0.062,1
Aarsd1,-0.080866698,0.264,0.272,1
Aasdh,-0.07375221,0.177,0.151,1
Aasdhppt,0.16271626,0.158,0.154,1
Aass,0,0,0,1
Aatf,0.176901408,0.469,0.404,1
Aatk,-0.307572518,0.325,0.32,1
AB041806,-0.437795008,0.013,0.022,1
AB124611,2.48663342,0.042,0.011,1
Abat,-0.11519986,0.534,0.54,1
Abca1,0.145032262,0.051,0.04,1
Abca12,-0.835392243,0.026,0.04,1
Abca13,0.909180045,0.039,0.022,1
Abca14,0,0,0,1
Abca15,-0.635992343,0,0.004,1
Abca16,0.611448987,0.003,0.004,1
Abca17,0.307067977,0.048,0.048,1
Abca2,-0.234174212,0.28,0.294,1
Abca3,0.038305665,0.492,0.452,1
Abca4,-0.054157714,0.023,0.026,1
Abca5,0.136983133,0.489,0.419,1
Abca6,-1.004199618,0.048,0.066,1
Abca7,-0.423613232,0.148,0.18,1
Abca8a,1.429177679,0.013,0.004,1
Abca8b,0.377651625,0.383,0.301,1
Abca9,0.12849765,0.035,0.029,1
Abcb10,-0.901452917,0.312,0.368,1
Abcb11,0.495640009,0.003,0,1
Abcb1a,1.54892689,0.023,0.011,1
Abcb1b,-0.122275931,0.074,0.092,1
Abcb4,0.206514597,0.08,0.085,1
Abcb5,-1.029552401,0.01,0.015,1
Abcb6,-0.680261528,0.035,0.048,1
Abcb7,-0.07756175,0.238,0.25,1
Abcb8,0.015293965,0.161,0.151,1
Abcb9,-0.751979278,0.119,0.151,1
Abcc1,0.161883754,0.347,0.279,1
Abcc10,-0.256661806,0.103,0.11,1
Abcc12,0,0,0,1
Abcc2,0.635770151,0.01,0.007,1
Abcc3,0.952122511,0.003,0,1
Abcc4,0.226016176,0.206,0.147,1
Abcc5,0.179843349,0.81,0.776,1
Abcc6,0.275321861,0.006,0.007,1
Abcc8,0.280832204,0.225,0.184,1
Abcc9,0.481354984,0.084,0.062,1
Abcd1,-0.999895924,0.077,0.103,1
Abcd2,0.129244094,0.122,0.125,1
Abcd3,0.142933011,0.444,0.349,1
Abcd4,-0.218409468,0.228,0.228,1
Abce1,-0.372855896,0.238,0.301,1
Abcf1,-0.514863156,0.215,0.283,1
Abcf2,-0.730027905,0.064,0.096,1
Abcf3,-0.366691165,0.177,0.162,1
Abcg1,0.058002276,0.219,0.184,1
Abcg2,0.025343981,0.113,0.081,1
Abcg3,0.602727259,0.003,0,1
Abcg4,-0.243105782,0.158,0.158,1
Abcg5,2.082212046,0.003,0,1
Abcg8,-1.2272521,0,0.007,1
Abhd1,0,0,0,1
Abhd10,0.271302386,0.257,0.213,1
Abhd11,-0.737338376,0.061,0.077,1
Abhd12,-0.184453992,0.457,0.423,1
Abhd12b,-0.947401409,0.003,0.011,1
Abhd13,-0.067952423,0.035,0.029,1
Abhd14a,-0.826824431,0.058,0.088,1
Abhd14b,-0.252712927,0.26,0.254,1
Abhd15,0.545490358,0.035,0.026,1
Abhd16a,0.339715669,0.203,0.169,1
Abhd16b,0,0,0,1
Abhd17a,-0.128134645,0.116,0.121,1
Abhd17b,0.158935521,0.453,0.401,1
Abhd17c,-0.138710709,0.087,0.088,1
Abhd18,0.102545142,0.685,0.625,1
Abhd2,-0.516093933,0.315,0.335,1
Abhd3,-0.621317739,0.151,0.143,1
Abhd4,-0.127468619,0.064,0.096,1
Abhd5,-0.712688446,0.039,0.066,1
Abhd6,0.321411611,0.344,0.254,1
Abhd8,-1.549591686,0.1,0.188,1
Abi1,0.355969081,0.598,0.493,1
Abi2,0.119184217,0.701,0.625,1
Abi3,0,0,0,1
Abi3bp,0.898287176,0.048,0.033,1
Abitram,-0.264799255,0.129,0.114,1
Abl1,-0.157586532,0.318,0.324,1
Abl2,-0.015717288,0.511,0.485,1
Ablim1,0.196459947,0.878,0.783,1
Ablim2,0.24876352,0.675,0.57,1
Ablim3,0.372157851,0.576,0.474,1
Abo,0.233955462,0.006,0.011,1
Abr,0.126282113,0.778,0.728,1
Abra,0.148943524,0.016,0.015,1
Abracl,-0.941797248,0.068,0.114,1
Abraxas1,0.171500896,0.174,0.162,1
Abraxas2,-0.163617879,0.17,0.191,1
Abt1,-1.25854028,0.019,0.044,1
Abtb1,0.584617458,0.106,0.074,1
Abtb2,-0.569754832,0.074,0.092,1
Acaa1a,-0.026318466,0.174,0.165,1
Acaa1b,1.003201637,0.006,0,1
Acaa2,0.511454274,0.051,0.04,1
Acaca,0.253621421,0.875,0.794,1
Acacb,1.317525672,0.035,0.022,1
Acad10,-0.376344947,0.19,0.184,1
Acad11,-0.213440136,0.148,0.162,1
Acad12,-1.054162528,0.032,0.059,1
Acad8,-0.216705684,0.125,0.121,1
Acad9,0.094760864,0.106,0.081,1
Acadl,0.381585341,0.042,0.029,1
Acadm,0.307615382,0.18,0.151,1
Acads,-0.123916099,0.08,0.092,1
Acadsb,0.011619533,0.601,0.592,1
Acadvl,-0.426035579,0.106,0.125,1
Acan,-0.432665361,0.003,0.004,1
Acap1,2.062076064,0.01,0,1
Acap2,-0.190525577,0.547,0.518,1
Acap3,-0.005323811,0.138,0.169,1
Acat1,0.108814041,0.675,0.61,1
Acat2,0.696031626,0.193,0.121,1
Acat3,0.893961128,0.016,0.011,1
