X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,-0.317919012,0.005,0.008,1
Marc2,-0.028771335,0.459,0.469,1
A1bg,0,0,0,1
A1cf,0.32017533,0.002,0.002,1
A26c2,-0.569798583,0.079,0.124,0.02030076
A2m,0.167607895,0.16,0.164,1
A2ml1,0,0,0,1
A3galt2,0,0,0,1
A4galt,-0.561675405,0.15,0.217,0.000196564
A4gnt,0.355975868,0.004,0.003,1
Aaas,-0.079649743,0.195,0.207,1
Aacs,-0.01073196,0.363,0.385,1
Aadac,0.644884588,0.01,0.008,1
Aadacl2,-0.48697803,0.001,0.002,1
Aadacl3,0.824889331,0.002,0.001,1
Aadacl4,0,0,0,1
Aadat,-0.660113097,0.008,0.015,1
Aaed1,0,0,0,1
Aagab,0.116269512,0.029,0.029,1
Aak1,0,0,0,1
Aamdc,-0.069568256,0.202,0.207,1
Aamp,0,0,0,1
Aanat,0.03033293,0.376,0.399,1
Aar2,-0.239053675,0.068,0.083,1
Aard,0,0,0,1
Aars,0,0,0,1
Aars2,-0.19877375,0.088,0.097,1
Aarsd1,0.110617153,0.001,0.001,1
Aasdh,-0.244320177,0.021,0.022,1
Aasdhppt,-0.663552032,0.037,0.06,1
Aass,0.158931069,0.17,0.167,1
Aatf,0,0,0,1
Aatk,1.119908903,0.004,0.003,1
AB041806,0.711062619,0.146,0.098,0.005295806
AB124611,-2.38216259,0.008,0.018,1
Abat,-0.053890718,0.641,0.648,1
Abca1,0,0,0,1
Abca12,-0.258282472,0.216,0.237,1
Abca13,0,0,0,1
Abca14,0,0,0,1
Abca15,0,0,0,1
Abca16,-1.120858154,0.005,0.008,1
Abca17,0,0,0,1
Abca2,-0.009228692,0.047,0.052,1
Abca3,0.813842655,0.009,0.006,1
Abca4,0.632752299,0.003,0.004,1
Abca5,0.185958166,0.026,0.03,1
Abca6,0.930381473,0.008,0.004,1
Abca7,0,0,0,1
Abca8a,-0.103400728,0.117,0.135,1
Abca8b,-1.894970667,0,0.002,1
Abca9,-0.212297522,0.004,0.004,1
Abcb10,0,0,0,1
Abcb11,-1.059503241,0.001,0.002,1
Abcb1a,-0.053274268,0.03,0.033,1
Abcb1b,0,0,0,1
Abcb4,0,0,0,1
Abcb5,0.692697532,0.051,0.032,1
Abcb6,-0.401119094,0.006,0.011,1
Abcb7,0,0,0,1
Abcb8,2.404397598,0.002,0,1
Abcb9,-0.00441819,0.019,0.021,1
Abcc1,1.466008344,0.003,0.001,1
Abcc10,0,0,0,1
Abcc12,-0.666984636,0,0.001,1
Abcc2,0,0,0,1
Abcc3,0,0,0,1
Abcc4,-0.628576754,0,0.001,1
Abcc5,0.647677762,0.001,0.001,1
Abcc6,-0.19291532,0.04,0.047,1
Abcc8,-0.535058801,0.005,0.007,1
Abcc9,0,0,0,1
Abcd1,0,0,0,1
Abcd2,1.342565306,0.002,0.001,1
Abcd3,0.247817164,0.004,0.004,1
Abcd4,-1.11970651,0.001,0.002,1
Abce1,-1.972291862,0,0.003,1
