X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.716720848,0.005,0.003,1
Marc2,0.195542026,0.181,0.179,1
A1bg,-0.193837019,0.002,0.003,1
A1cf,-0.716999266,0.005,0.003,1
A26c2,0.83450152,0.007,0.003,1
A2m,0.122457885,0.12,0.106,1
A2ml1,0.343221753,0.052,0.05,1
A3galt2,0.760957341,0.009,0.005,1
A4galt,-0.135603617,0.007,0.003,1
A4gnt,1.544329995,0.005,0.011,1
Aaas,0.107118494,0.115,0.121,1
Aacs,-0.159462955,0.296,0.306,1
Aadac,0,0,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,-1.421389414,0.005,0.016,1
Aaed1,0,0,0,1
Aagab,0.171709832,0.497,0.43,1
Aak1,0.278429809,0.921,0.887,0.087733989
Aamdc,0.135413203,0.21,0.187,1
Aamp,0.123505676,0.208,0.177,1
Aanat,-0.417285043,0.036,0.053,1
Aar2,-0.18755337,0.165,0.182,1
Aard,-0.66611723,0.061,0.066,1
Aars,0.446340559,0.402,0.327,1
Aars2,-0.426767397,0.129,0.153,1
Aarsd1,0.027895921,0.327,0.29,1
Aasdh,-0.379128754,0.163,0.208,1
Aasdhppt,-0.050653851,0.126,0.161,1
Aass,-0.2183829,0.011,0.008,1
Aatf,0.179157198,0.546,0.456,1
Aatk,-0.182629703,0.429,0.451,1
AB041806,-0.397133679,0.052,0.074,1
AB124611,0.305856862,0.041,0.032,1
Abat,-0.086425352,0.589,0.58,1
Abca1,0.360021698,0.05,0.047,1
Abca12,0.028046841,0.011,0.008,1
Abca13,0.056811339,0.056,0.047,1
Abca14,0,0,0,1
Abca15,-0.72700589,0.002,0.003,1
Abca16,-0.981836149,0.002,0.003,1
Abca17,-0.763065378,0.05,0.074,1
Abca2,-0.454343056,0.363,0.446,1
Abca3,-0.120520133,0.594,0.602,1
Abca4,-0.24591178,0.027,0.032,1
Abca5,0.347135646,0.738,0.633,1
Abca6,0.378651301,0.135,0.121,1
Abca7,0.171352202,0.395,0.356,1
Abca8a,-0.522135038,0.023,0.021,1
Abca8b,0.470781909,0.44,0.369,1
Abca9,0.594963655,0.065,0.04,1
Abcb10,0.073608459,0.251,0.253,1
Abcb11,-1.793339856,0,0.003,1
