,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007416,BP,GO:0007416,synapse assembly,54/912,229/17619,1.83220746758744e-21,1.13670151289125e-17,9.73191461204865e-18,Adgrl2/Slitrk1/Lrrtm1/Kirrel3/Cntnap2/Sdcbp/Magi2/Flrt2/Il1rapl1/Negr1/Mdga2/Lrtm1/Ephb1/Pclo/Ppp1r9a/Lrrtm4/Lingo2/Lzts3/Sdk2/Arhgef9/Gpm6a/Clstn3/Pcdh17/Lrrtm3/Lzts1/Sema4d/Ptprs/Ptprd/Ptk2b/Prkca/Numb/Ntrk3/Ntrk2/Nrxn3/Nrxn1/Mapt/Mef2c/Il1rap/Elavl2/Grin1/Gria1/Gabrg3/Gabra3/Gabra2/Gabra1/Fgf13/Efnb2/Efna5/Cacna1a/Bsn/Add2/Asic2/Gabra5/Mycbp2,54
GO:0050803,BP,GO:0050803,reg. of synapse struct. or activity,62/912,315/17619,4.00904355507504e-20,1.21213839738708e-16,1.03777704591523e-16,Adgrl2/Dtnbp1/Myh10/Tanc2/Slitrk1/Lrrtm1/Slc17a7/Malat1/Magi2/Flrt2/Cdkl5/Il1rapl1/Abi2/Negr1/Mdga2/Nrcam/Lrtm1/Ephb1/Mapk14/Ppp1r9a/Lrrtm4/Lingo2/Rims4/Lzts3/Gpr158/Arhgap22/Camkv/Gpm6a/Clstn3/Zmynd8/Dgkb/Arhgap44/Abhd17a/Lrrtm3/Lzts1/Snap91/Sema4d/Rock2/Rheb/Ptprs/Ptprd/Ptk2b/Prkca/Numb/Ntrk3/Ntrk2/Nrxn1/Nf1/Afdn/Mef2c/Il1rap/Elavl2/Grin2b/Grin1/Grid1/Epha4/Efna5/Asap1/Dctn1/Cask/Asic2/Mycbp2,62
GO:0050807,BP,GO:0050807,reg. of synapse org.,61/912,308/17619,5.86140424268414e-20,1.21213839738708e-16,1.03777704591523e-16,Adgrl2/Dtnbp1/Myh10/Tanc2/Slitrk1/Lrrtm1/Malat1/Magi2/Flrt2/Cdkl5/Il1rapl1/Abi2/Negr1/Mdga2/Nrcam/Lrtm1/Ephb1/Mapk14/Ppp1r9a/Lrrtm4/Lingo2/Rims4/Lzts3/Gpr158/Arhgap22/Camkv/Gpm6a/Clstn3/Zmynd8/Dgkb/Arhgap44/Abhd17a/Lrrtm3/Lzts1/Snap91/Sema4d/Rock2/Rheb/Ptprs/Ptprd/Ptk2b/Prkca/Numb/Ntrk3/Ntrk2/Nrxn1/Nf1/Afdn/Mef2c/Il1rap/Elavl2/Grin2b/Grin1/Grid1/Epha4/Efna5/Asap1/Dctn1/Cask/Asic2/Mycbp2,61
GO:0034329,BP,GO:0034329,cell junction assembly,76/912,476/17619,9.18294599883862e-19,1.42427492441987e-15,1.21939856605631e-15,Adgrl2/Nedd4l/Slitrk1/Clasp2/Rapgef2/Lrrtm1/Dusp3/Kirrel3/Pkp2/Cntnap2/Tsc1/Sdcbp/Magi2/Flrt2/Il1rapl1/Abi2/Cdh10/Negr1/Mdga2/Lrtm1/Ephb1/Pclo/Ppp1r9a/Lrrtm4/Lingo2/Lzts3/Cdh7/Cdh20/Sdk2/Arhgef9/Gpm6a/Clstn3/Pcdh17/Lrrtm3/Lzts1/Sema4d/Rock2/Ptprs/Ptprd/Ptk2b/Prkca/Enpp2/Numb/Ntrk3/Ntrk2/Nrxn3/Nrxn1/Nrp1/Mapt/Afdn/Mef2c/Smad7/Smad3/Il1rap/Elavl2/Grin1/Gria1/Gpm6b/Gabrg3/Gabra3/Gabra2/Gabra1/Fmn1/Fgf13/Efnb2/Efna5/Dst/Cdh6/Cdh13/Cacna1a/Bsn/Add2/Actn2/Asic2/Gabra5/Mycbp2,76
GO:0016358,BP,GO:0016358,dendrite development,60/912,323/17619,3.14393395122581e-18,3.90099324668098e-15,3.33985067744956e-15,Hecw1/Dtnbp1/Klf7/Klhl1/Nedd4l/Tanc2/Rapgef2/Grip1/Rere/Wls/Camsap2/Cntnap2/Sh3glb1/Cdkl5/Il1rapl1/Abi2/Hecw2/Ephb1/Fat3/Mapk8/Ppp1r9a/Lzts3/Csmd3/Septin7/Zmynd8/Camk1d/Mark1/Phactr1/Arhgap44/Lzts1/Cpeb3/Sgk1/Sema4d/Rock2/Ptprs/Ptprd/Palm/Numb/Ntrk2/Nrp1/Nck2/Map2/Map1b/Afdn/Mef2c/Mef2a/Matn2/Elavl4/Nr3c1/Grin1/Epha4/Dscam/Asap1/Dclk1/Dab1/Cobl/Cask/Camk2a/Cacna1a/Dgkg,60
GO:0042391,BP,GO:0042391,reg. of membrane potential,75/912,486/17619,1.13486856340139e-17,1.06216010952437e-14,9.09372546177331e-15,Usp53/Pid1/Nedd4l/Tmem108/Slc17a7/Nos1ap/Pkp2/Cntnap2/Kcnd3/Dynll1/Gria3/Rgs7bp/Prkn/Nrcam/Adcy10/Pclo/Ppp1r9a/Rims4/Glra2/Zmynd8/Pip5kl1/Unc13b/Ubb/Trpc4/Slc8a1/Slc4a3/Scn3a/Scn1a/Atxn1/Ptk2b/Slc25a36/Prkar1b/Oprm1/Ntrk3/Ntrk2/Nrxn1/Mapt/Afdn/Mef2c/Smad7/Kcnh7/Kcnma1/Kcnd2/Kcna2/Jun/Hcn1/Grin2b/Grin1/Gria1/Gabrg3/Gabrb1/Gabra3/Gabra2/Gabra1/Fgf14/Fgf13/Fgf12/Cxadr/Cacng2/Cacnb4/Cacnb2/Cacna2d1/Cacna1d/Cacna1a/Atp2a2/Atp1b3/Atp1a1/Ank3/Rims2/Rims1/Actn2/Asic2/Gabra5/Kcnq3/Celf4,75
GO:0007269,BP,GO:0007269,neurotransmitter secretion,42/912,172/17619,1.45233143261257e-17,1.06216010952437e-14,9.09372546177331e-15,Dtnbp1/Fbxl20/Sv2b/Prkn/Unc13a/Cspg5/Cadps/Pclo/Ppp1r9a/Rims4/Gpr158/Erc2/Syt11/Lin7b/Unc13b/Rap1b/Syt1/Syn2/Syn1/Stxbp5l/Snap91/Snap25/Prkcg/Prkcb/Prkca/Pfn2/Ntrk2/Nrxn3/Nrxn1/Nf1/Mef2c/Ica1/Htr2c/Grm8/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Atp2a2/Rims2/Rims1,42
GO:0099643,BP,GO:0099643,signal release from synapse,42/912,172/17619,1.45233143261257e-17,1.06216010952437e-14,9.09372546177331e-15,Dtnbp1/Fbxl20/Sv2b/Prkn/Unc13a/Cspg5/Cadps/Pclo/Ppp1r9a/Rims4/Gpr158/Erc2/Syt11/Lin7b/Unc13b/Rap1b/Syt1/Syn2/Syn1/Stxbp5l/Snap91/Snap25/Prkcg/Prkcb/Prkca/Pfn2/Ntrk2/Nrxn3/Nrxn1/Nf1/Mef2c/Ica1/Htr2c/Grm8/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Atp2a2/Rims2/Rims1,42
GO:0099003,BP,GO:0099003,vesicle-med. transp. in synapse,53/912,267/17619,1.54085122271427e-17,1.06216010952437e-14,9.09372546177331e-15,Dtnbp1/Sacm1l/Grip1/Slc17a7/Fbxl20/Ap2b1/Scrn1/Sv2b/Vamp4/Prkn/Magi2/Unc13a/Cspg5/Cadps/Aak1/Pclo/Mapk10/Rims4/Erc2/Syt11/Dennd1a/Btbd9/Unc13b/Pcdh17/Amph/Rap1b/Syt1/Syn2/Syn1/Stxbp5l/Snap91/Snap25/Sh3gl2/Prkar1b/Prkcg/Prkcb/Prkca/Pfn2/Numb/Nrxn1/Fgf14/Efnb2/Dnm1/Cask/Camk2a/Cacnb4/Cacna1e/Cacna1a/Bsn/Atp2a2/Ap3s1/Rims2/Rims1,53
GO:0099173,BP,GO:0099173,postsynapse org.,51/912,253/17619,3.223607901992e-17,1.99992634239584e-14,1.71224478667912e-14,Dtnbp1/Tmem108/Myh10/Tanc2/Lrrtm1/Nos1ap/Cntnap2/Magi2/Cdkl5/Il1rapl1/Abi2/Nrcam/Ephb1/Gphn/Cnksr2/Ppp1r9a/Lrrtm4/Lzts3/Arhgap22/Dlg2/Arhgef9/Septin7/Sorbs2/Zmynd8/Dgkb/Arhgap44/Abhd17a/Lzts1/Sh3gl2/Rock2/Rheb/Ptprs/Ptprd/Ptk2b/Numb/Ntrk3/Nrxn3/Nrxn1/Nrp1/Nf1/Afdn/Insr/Il1rap/Igf1r/Grin2b/Grin1/Grid1/Epha4/Asap1/Cask/Dgkz,51
