,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0043087,BP,GO:0043087,reg. of GTPase activity,10/169,309/28905,1.5065815343429e-05,0.02849197,0.023118032,Gpsm1/Rtn4r/Tbc1d1/Iqgap2/Rgs6/Rgma/Grhl3/Arhgap1/Asap2/Abr,10
GO:1902305,BP,GO:1902305,reg. of sod. ion transm. transport,5/169,59/28905,2.49729195215662e-05,0.02849197,0.023118032,Hecw1/Tesc/Fxyd7/Atp2b4/Fxyd5,5
GO:0043525,BP,GO:0043525,pos. reg. of neuron apoptotic process,6/169,102/28905,3.0947107284959e-05,0.02849197,0.023118032,Adcy10/Bbc3/Jun/Ddit3/Casp3/Hrk,6
GO:0070059,BP,GO:0070059,intrinsic apoptotic sig. / ER stress,5/169,67/28905,4.63929634669678e-05,0.032034341,0.025992268,Trib3/Bbc3/Eif2ak3/Ddit3/Casp3,5
GO:0007264,BP,GO:0007264,small GTPase-mediated signal trans.,11/169,439/28905,5.90301658751114e-05,0.032608264,0.026457942,Sipa1l3/Rhou/Ccdc88c/Rtn4r/Sh2d3c/Arhgap1/Rab33a/Kitl/F2rl2/Abca1/Rhoq,11
GO:0051491,BP,GO:0051491,pos. reg. of filopodium assembly,4/169,39/28905,7.90627085465748e-05,0.032698649,0.026531279,Myo3b/Zmynd8/Dpysl3/Rhoq,4
GO:2001235,BP,GO:2001235,pos. reg. of apoptotic signal. pathway,7/169,176/28905,8.28713042988946e-05,0.032698649,0.026531279,Trps1/Adcy10/Ret/Pea15a/Bbc3/Eif2ak3/Ddit3,7
GO:0048681,BP,GO:0048681,negative reg. of axon regeneration,3/169,16/28905,0.000103966,0.035894332,0.029124217,Rtn4r/Rgma/Rtn4rl1,3
GO:0002028,BP,GO:0002028,reg. of sodium ion transport,5/169,91/28905,0.000199561,0.039917238,0.032388353,Hecw1/Tesc/Fxyd7/Atp2b4/Fxyd5,5
GO:0051365,BP,GO:0051365,cell. Resp. to pot. ion starvation,2/169,4/28905,0.000202332,0.039917238,0.032388353,Jun/Hrk,2
GO:0061357,BP,GO:0061357,pos. reg. of Wnt protein secretion,2/169,4/28905,0.000202332,0.039917238,0.032388353,Tmem132a/Wls,2
GO:0031103,BP,GO:0031103,axon regeneration,4/169,54/28905,0.000283956,0.047158694,0.038263981,Rtn4r/Rgma/Rtn4rl1/Jun,4
GO:0035725,BP,GO:0035725,sodium ion transmem. transp.,6/169,153/28905,0.00029026,0.047158694,0.038263981,Hecw1/Tesc/Fxyd7/Atp2b4/Slc4a9/Fxyd5,6
GO:1902267,BP,GO:1902267,reg. of polyamine transmem. transp.,2/169,5/28905,0.000335922,0.048246975,0.039146998,Azin2/Oaz2,2
GO:0031400,BP,GO:0031400,negative reg. of prot. mod. process,10/169,453/28905,0.000353397,0.048246975,0.039146998,Camk2n2/Dusp16/Ctdspl/Atp2b4/Trib3/Pip5kl1/Sox4/Jun/Casp3/Bdkrb2,10
GO:0043547,BP,GO:0043547,pos. reg. of GTPase activity,7/169,226/28905,0.000384299,0.048246975,0.039146998,Rtn4r/Tbc1d1/Rgs6/Rgma/Grhl3/Asap2/Abr,7
GO:0045178,CC,GO:0045178,basal part of cell,10/173,334/28618,3.88505972711799e-05,0.009440695,0.007402061,Atp2b4/Abca8b/Adcy10/Slc4a9/Slc7a5/Mttp/Kcnj4/Entpd1/Abca1/Itga9,10
GO:0009925,CC,GO:0009925,basal plasma membrane,9/173,310/28618,0.000120048,0.014585774,0.011436106,Atp2b4/Abca8b/Slc4a9/Slc7a5/Mttp/Kcnj4/Entpd1/Abca1/Itga9,9
