X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.051263424,0.006,0.005,1
Marc2,-0.106655272,0.107,0.114,1
A1bg,0.409321159,0.002,0.002,1
A1cf,-0.138258733,0.005,0.005,1
A26c2,-0.092919472,0.018,0.022,1
A2m,0.377875863,0.001,0,1
A2ml1,0.022809053,0.028,0.027,1
A3galt2,0.195738733,0.007,0.005,1
A4galt,-0.397368241,0.002,0.003,1
A4gnt,2.812599468,0.004,0.002,1
Aaas,0.11077068,0.134,0.125,1
Aacs,-0.097390083,0.393,0.437,1
Aadac,0.907217624,0.001,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,-0.505306123,0.005,0.006,1
Aaed1,0,0,0,1
Aagab,0.018487661,0.712,0.729,1
Aak1,0.043836807,0.946,0.954,4.40987E-06
Aamdc,0.226016851,0.291,0.261,1
Aamp,-0.257962859,0.224,0.273,1
Aanat,0.198179832,0.047,0.044,1
Aar2,0.138717751,0.202,0.197,1
Aard,-0.076051328,0.016,0.016,1
Aars,0.095644911,0.43,0.433,1
Aars2,-0.252362098,0.118,0.137,1
Aarsd1,0.006505347,0.463,0.467,1
Aasdh,0.13655103,0.184,0.191,1
Aasdhppt,-0.239224044,0.186,0.229,1
Aass,-0.76178461,0.008,0.011,1
Aatf,0.021511313,0.491,0.512,1
Aatk,0.200278558,0.534,0.503,1
AB041806,0.203375718,0.051,0.049,1
AB124611,-0.19131385,0.051,0.057,1
Abat,0.111153486,0.451,0.453,1
Abca1,0.565215001,0.057,0.038,1
Abca12,-1.087371096,0.005,0.013,1
Abca13,0.349699506,0.027,0.022,1
Abca14,-0.280542284,0.011,0.011,1
Abca15,-0.085955247,0.01,0.013,1
Abca16,-0.542593065,0.006,0.006,1
Abca17,-0.294199317,0.186,0.234,0.399493487
Abca2,-0.09942994,0.378,0.421,1
Abca3,0.045227635,0.679,0.7,1
Abca4,0.014326893,0.067,0.075,1
Abca5,0.087008531,0.564,0.583,1
Abca6,-0.329990916,0.036,0.043,1
Abca7,-0.04942177,0.357,0.385,1
Abca8a,-0.194418454,0.005,0.008,1
Abca8b,0.372097014,0.243,0.2,1
Abca9,-0.619703054,0.016,0.017,1
Abcb10,-0.230913599,0.51,0.576,0.00145164
Abcb11,-0.072750512,0.004,0.005,1
Abcb1a,-0.177624628,0.018,0.019,1
Abcb1b,-0.068175221,0.161,0.169,1
Abcb4,-0.191722774,0.288,0.353,0.076496943
Abcb5,0.616127311,0.006,0.005,1
Abcb6,-0.076266491,0.087,0.091,1
Abcb7,0.059428747,0.37,0.384,1
Abcb8,0.264221837,0.228,0.206,1
Abcb9,0.26403264,0.592,0.564,0.340646085
Abcc1,-0.031440794,0.412,0.445,1
Abcc10,0.176462797,0.187,0.189,1
Abcc12,0.231952684,0.008,0.006,1
Abcc2,-0.495812004,0.004,0.005,1
Abcc3,0.479247939,0.026,0.022,1
Abcc4,0.091378297,0.267,0.264,1
Abcc5,0.000594512,0.887,0.91,1
Abcc6,-0.650766047,0.024,0.034,1
Abcc8,0.348986266,0.352,0.3,0.082108049
Abcc9,-1.750581456,0.001,0.007,1
Abcd1,0.130066202,0.112,0.107,1
Abcd2,0.029924862,0.245,0.254,1
Abcd3,0.056897794,0.493,0.479,1
Abcd4,0.249398507,0.349,0.335,1
Abce1,-0.128509221,0.377,0.42,1
Abcf1,0.096295562,0.53,0.525,1
Abcf2,0.176732752,0.137,0.13,1
Abcf3,-0.194622936,0.181,0.214,1
Abcg1,0.332763188,0.441,0.394,0.077918002
Abcg2,0.090724773,0.088,0.103,1
Abcg3,-0.742553774,0.003,0.005,1
Abcg4,0.42337819,0.158,0.134,1
Abcg5,0,0,0,1
Abcg8,-1.635628103,0.002,0.005,1
Abhd1,0,0,0,1
Abhd10,-0.030802179,0.232,0.25,1
Abhd11,0.136888837,0.079,0.085,1
Abhd12,0.152572303,0.769,0.754,1
Abhd12b,-0.138208324,0.003,0.002,1
Abhd13,-0.275784639,0.069,0.083,1
Abhd14a,-0.054564723,0.21,0.224,1
Abhd14b,-0.006980255,0.245,0.266,1
Abhd15,-0.391075549,0.04,0.046,1
Abhd16a,0.264160713,0.238,0.216,1
Abhd16b,0,0,0,1
Abhd17a,-0.323289719,0.275,0.361,1.31419E-06
