X,avg_log2FC,pct.1,pct.2,p_val_adj
Creb5,2.609380143,0.192,0.051,4.27827E-46
Hrk,1.383481458,0.174,0.079,2.94564E-19
Cd163l1,1.040826478,0.332,0.207,1.90455E-23
Dusp16,1.035798072,0.293,0.183,1.73096E-19
Pkp2,1.025430688,0.192,0.113,1.27325E-11
Vangl2,0.968057391,0.177,0.115,5.73846E-07
Slc44a5,0.897050529,0.248,0.167,5.35255E-10
Aldh2,0.884904943,0.19,0.108,1.85239E-12
Snrpf,0.828455471,0.195,0.134,5.75381E-06
Klhl1,0.820491601,0.626,0.499,2.93243E-31
Marchf1,0.803940574,0.538,0.416,4.21328E-26
Galns,0.789838485,0.141,0.1,0.035462377
Stmn4,0.735705766,0.456,0.363,7.07229E-15
mt-Co1,0.731130314,0.175,0.115,9.02917E-06
Slc4a9,0.710502973,0.138,0.093,0.007057691
Golph3l,0.709851922,0.164,0.111,0.000321894
Fam129b,0.701503774,0.252,0.173,6.96239E-09
Anxa11,0.690339141,0.128,0.084,0.006486595
Bmp1,0.669428363,0.207,0.153,0.001203328
Samd4,0.653664156,0.463,0.382,9.73128E-13
Nr4a2,-1.759335999,0.059,0.139,3.08465E-22
Egr4,-1.399891723,0.158,0.328,8.30491E-52
Arc,-1.394866221,0.164,0.366,1.07528E-69
Npas4,-1.299789696,0.118,0.27,7.40244E-46
Egr1,-1.21360916,0.197,0.36,4.683E-41
Egr3,-1.17448153,0.11,0.215,1.32512E-24
Fosl2,-1.146730916,0.068,0.14,3.02359E-16
Muc15,-1.142851114,0.181,0.349,8.11118E-46
Stard4,-1.092962024,0.059,0.117,2.22187E-11
Ctss,-1.079352824,0.063,0.14,3.63999E-19
Nr4a3,-1.046138803,0.233,0.375,5.58234E-31
Pcsk1,-1.000079327,0.349,0.531,1.00551E-49
Slc5a12,-0.977232609,0.059,0.111,1.2152E-08
Gucy2g,-0.939915455,0.055,0.096,4.35193E-05
Idi1,-0.929392222,0.093,0.165,1.18831E-12
Lama4,-0.89497025,0.068,0.118,6.08001E-07
B3gat2,-0.892938245,0.275,0.467,1.83147E-49
Tiparp,-0.887699348,0.276,0.415,1.04876E-27
Zdbf2,-0.855734747,0.261,0.375,2.38059E-20
Ier2,-0.823551251,0.058,0.106,4.04746E-07
