X,avg_log2FC,pct.1,pct.2,p_val_adj
Bpifc,5.831228915,0.033,0,1.19E-11
Creb5,4.790270623,0.665,0.051,9.71E-254
Acsm5,4.60475936,0.002,0,1
Nr5a2,4.457404961,0.01,0,0.220275316
Vtn,4.252939953,0.008,0,1
Cyp4b1,4.126054809,0.005,0,1
Rnase4,4.068600337,0.002,0,1
Olfr1033,3.971055148,0.008,0,1
Iqcn,3.87077365,0.007,0,1
Spata3,3.808878296,0.003,0,1
Stra8,3.718576132,0.003,0,1
Snx33,3.718382029,0.003,0,1
Ecel1,3.700812455,0.003,0,1
Ccdc83,3.682988218,0.007,0,1
Gfy,3.67987488,0.008,0.001,1
F13b,3.655059702,0.005,0,1
Clec4b1,3.643360883,0.007,0,1
Clic1,3.639504857,0.005,0,1
Vav1,3.622230604,0.003,0,1
Sema3b,3.566477535,0.005,0,1
Stab1,3.564869957,0.01,0.004,1
Vmn1r6,3.518370437,0.003,0,1
Ret,3.501063912,0.051,0.005,4.37E-11
Tnfrsf1b,3.466987669,0.005,0,1
Olfr859,3.461448495,0.005,0,1
Wfdc11,3.440137546,0.005,0,1
Il13ra1,3.423409992,0.005,0,1
Hoga1,3.399072225,0.002,0,1
Olfr1274-ps,3.384332232,0.003,0,1
Olfr152,3.378466907,0.003,0,1
Ube2d2b,3.349833569,0.005,0,1
Nr5a1,3.338462973,0.007,0,1
Sqor,3.317410668,0.003,0,1
Trh,3.314384217,0.003,0,1
Sctr,3.310284118,0.005,0,1
Slco1b2,3.276573776,0.003,0,1
Ppp1r32,3.273232933,0.003,0,1
Upk3a,3.26861134,0.002,0,1
Gnat1,3.255936074,0.002,0,1
Hbb-bt,3.240287255,0.003,0,1
Dusp9,3.230424388,0.002,0,1
Cyb5r2,3.225205029,0.005,0,1
Xkr9,3.198219361,0.003,0,1
Prr15l,3.194690605,0.003,0,1
Calr4,3.19365601,0.005,0,1
Col2a1,3.190649668,0.005,0,1
Trib3,3.185433313,0.031,0.004,0.000160291
Fam71e2,3.180816513,0.007,0.002,1
Lhx6,3.175828203,0.002,0,1
Ccdc180,3.167567774,0.002,0,1
Sh2d6,3.159636692,0.076,0.011,1.67E-14
Klra2,3.145400383,0.033,0.005,0.00042682
Ssx9,3.138027861,0.005,0,1
Lin28a,3.122893933,0.002,0,1
Hrc,3.117195447,0.003,0,1
Sh2d1b1,3.114426858,0.003,0,1
Pou4f1,3.107598992,0.003,0,1
Kcnn4,3.094399346,0.002,0,1
Ms4a4b,3.094122743,0.003,0,1
Slc7a3,3.078984859,0.064,0.01,3.44E-11
H2-M5,3.06651958,0.003,0,1
Npr1,3.057154516,0.003,0,1
Ttc34,3.021096196,0.003,0,1
Ces1e,3.019922324,0.002,0,1
Slc22a7,3.018961206,0.003,0,1
B3gnt5,3.014604981,0.003,0,1
Slc45a2,3.010182028,0.005,0,1
Olfr1254,3.002722029,0.003,0,1
Vmn1r58,2.997387924,0.003,0,1
Sgsh,2.994828163,0.003,0,1
Gpr152,2.985460094,0.003,0,1
Lax1,2.979015782,0.005,0,1
Wt1,2.978929122,0.007,0.002,1
Pthlh,2.960177773,0.003,0,1
Tafa3,2.957822293,0.005,0,1
Card11,2.950580063,0.002,0,1
Gbp2b,2.947055554,0.002,0,1
Ifitm6,2.946750786,0.005,0,1
Txndc8,2.945087677,0.003,0,1
Ddx3y,2.939917169,0.003,0,1
Lmod3,2.931313967,0.005,0,1
Gimap1,2.92823249,0.003,0,1
Adra2a,2.927428181,0.003,0,1
Vmn2r93,2.91753654,0.003,0,1
Dcaf12l2,2.907728498,0.002,0,1
Rimbp3,2.898971778,0.003,0,1
Klrb1b,2.895371119,0.002,0,1
Srgn,2.890728982,0.002,0,1
Ccl4,2.865967025,0.003,0,1
Phf11d,2.861876914,0.003,0,1
Skint8,2.844997627,0.021,0.004,0.668455427
Tmbim7,2.843866649,0.002,0,1
Hrk,2.831494714,0.381,0.079,9.05E-74
Tmem45a,2.831092715,0.002,0,1
Olfr410,2.828702411,0.002,0,1
Mtnr1b,2.824340591,0.003,0,1
Cyp2c67,2.824317456,0.002,0,1
Scn4a,2.824317456,0.002,0,1
Ccno,2.81967434,0.003,0,1
Slc5a2,2.814530027,0.003,0,1
Sox13,2.810437074,0.003,0,1
Tmod4,2.791685589,0.002,0,1
Phf19,2.780066742,0.003,0,1
Hcst,2.778683843,0.002,0,1
Gprc5a,2.771291068,0.003,0,1
Cutal,2.760664806,0.002,0,1
Vipr2,2.757832579,0.005,0,1
Ccdc114,2.750626729,0.002,0,1
Cltrn,2.743189227,0.002,0,1
F13a1,2.742862175,0.102,0.022,1.85E-14
Slc39a5,2.741239406,0.003,0,1
Nepn,2.739588387,0.003,0,1
H1fnt,2.724957442,0.002,0,1
Ndrg1,2.724271231,0.031,0.004,0.000174647
Cyp11b1,2.721708721,0.003,0,1
Tsku,2.712267204,0.008,0.002,1
Gpr37l1,2.709978024,0.003,0,1
Emilin3,2.709836173,0.003,0,1
Faddos,2.704788083,0.002,0,1
Fas,2.704788083,0.002,0,1
Vgll2,2.701283144,0.015,0.002,0.565770638
Nkx6-1,2.699928178,0.002,0,1
Mst1,2.684536324,0.002,0,1
Mcoln2,2.680717593,0.003,0.002,1
Bmp4,2.680219435,0.002,0,1
Slc22a29,2.680219435,0.002,0,1
Tex28,2.680219435,0.002,0,1
Lefty2,2.678449369,0.002,0,1
Echdc3,2.677770352,0.002,0,1
Gpha2,2.652325764,0.003,0,1
Lpin3,2.649985773,0.002,0,1
Olfr1116,2.643200491,0.002,0,1
Mcub,2.626573946,0.002,0.003,1
Ecscr,2.624703699,0.002,0,1
Zfp872,2.624191343,0.003,0,1
Gsdma3,2.61793084,0.002,0,1
Sult2a8,2.613305295,0.005,0.002,1
Trav4-4-dv10,2.613021477,0.002,0,1
Olfr1260,2.596968521,0.002,0,1
Olfr30,2.596968521,0.002,0,1
Olfr251,2.589382719,0.002,0,1
Spic,2.588175596,0.003,0,1
Cilp,2.588103592,0.002,0,1
Ms4a12,2.585060253,0.002,0,1
Vmn1r188,2.584564313,0.002,0,1
Aoc3,2.583629111,0.002,0,1
Mageb4,2.582038497,0.002,0,1
Cd248,2.580399281,0.002,0,1
Plk5,2.580399281,0.002,0,1
Gstm7,2.57690219,0.003,0,1
Dnajc5g,2.576436821,0.002,0,1
Hand2os1,2.561367001,0.002,0,1
Pdlim2,2.561367001,0.002,0,1
C6,2.559847217,0.008,0.002,1
Gpr174,2.548742295,0.003,0,1
Plac8,2.547983714,0.002,0,1
Hm629797,2.546862215,0.003,0,1
Bdkrb2,2.546172689,0.082,0.018,8.98E-11
Inka1,2.543318494,0.002,0,1
Gabrr1,2.538351711,0.005,0.003,1
Zdhhc11,2.535856005,0.002,0,1
Olfr204,2.532126541,0.002,0.002,1
Chrna10,2.531230751,0.002,0,1
Tigit,2.528913877,0.002,0,1
Myl2,2.525188003,0.003,0,1
Naa11,2.522658247,0.002,0,1
Spata31d1d,2.517709925,0.003,0,1
Olfr872,2.517527172,0.002,0,1
Dusp16,2.516015571,0.609,0.183,8.91E-109
mt-Atp8,2.509701512,0.003,0.002,1
Fabp6,2.504237832,0.002,0,1
Mrgpra1,2.498738635,0.002,0,1
Prrxl1,2.48653825,0.003,0,1
Erbb3,2.484059214,0.007,0.005,1
Marcksl1,2.4770971,0.002,0,1
Hsd17b6,2.476337341,0.007,0.002,1
Runx3,2.471661765,0.002,0,1
Scnn1g,2.471661765,0.002,0,1
Serpinb6e,2.471495768,0.002,0,1
Gstm1,2.471237513,0.005,0.002,1
Olfr607,2.46670134,0.003,0,1
Gprc5d,2.465969006,0.021,0.005,1
Avpr2,2.465038127,0.002,0,1
Tbpl2,2.462316155,0.002,0,1
Ccdc121,2.462032922,0.002,0,1
Psmb9,2.461305607,0.002,0,1
Try10,2.458170389,0.002,0,1
Kl,2.455678213,0.003,0,1
Nde1,2.45502045,0.01,0.005,1
Adipoq,2.442873687,0.003,0.002,1
Galr2,2.441537438,0.005,0.002,1
Chat,2.441086203,0.002,0,1
Duoxa1,2.433753624,0.002,0,1
Nkx2-2os,2.433753624,0.002,0,1
Fcgr2b,2.43330497,0.002,0,1
Smim22,2.431912094,0.003,0,1
Icos,2.431553172,0.002,0,1
Insm2,2.430587793,0.002,0,1
Tas1r2,2.425069158,0.002,0,1
Smim6,2.423553858,0.007,0.002,1
Slc44a5,2.422363793,0.519,0.167,1.43E-77
Xkr5,2.421642066,0.003,0,1
Vmn2r23,2.41650114,0.003,0,1
Bcas1,2.413951071,0.011,0.002,1
Art1,2.407173988,0.002,0,1
Fam122c,2.405742266,0.005,0.002,1
Drr1,2.401977938,0.002,0,1
Podnl1,2.395915514,0.003,0,1
Ms4a6d,2.395779781,0.01,0.003,1
Lipo4,2.394413009,0.002,0,1
Olfr670,2.392813725,0.002,0,1
Ms4a4d,2.386475345,0.002,0,1
Cyp26c1,2.38566783,0.003,0,1
Cdh26,2.382406886,0.002,0,1
Olfr639,2.382368944,0.003,0,1
Foxr1,2.381634496,0.002,0,1
Casp4,2.372629199,0.002,0,1
Clec4a1,2.371224702,0.002,0,1
Ccn4,2.370444675,0.005,0.001,1
Adgrf3,2.369206597,0.002,0,1
Bst1,2.369206597,0.002,0,1
H2-Q4,2.369206597,0.002,0,1
Pax2,2.365559353,0.002,0,1
Sap18b,2.361485419,0.003,0.002,1
Gjd3,2.361335661,0.005,0.002,1
Cldn34c4,2.361287571,0.002,0,1
Oit1,2.361287571,0.002,0,1
Cd55b,2.358074835,0.008,0.002,1
Tnfrsf13c,2.356342269,0.002,0,1
Tmem82,2.352910816,0.002,0,1
Clps,2.347022506,0.002,0,1
Ifi211,2.347022506,0.002,0,1
R3hdml,2.338065137,0.013,0.003,1
Ildr1,2.33735397,0.002,0,1
Nuf2,2.331776414,0.002,0,1
Tbx21,2.331254362,0.002,0,1
Trp53i11,2.322299689,0.002,0,1
Trpv1,2.318822293,0.008,0.002,1
Oosp1,2.31725011,0.002,0,1
Ins2,2.314772085,0.008,0.002,1
Igsf23,2.314172279,0.002,0,1
Olfr1312,2.31414633,0.002,0,1
Tmem71,2.311948879,0.002,0,1
Cyp2c54,2.308975907,0.002,0,1
Skint7,2.304826299,0.018,0.004,1
Myoz2,2.30474928,0.011,0.003,1
Aire,2.303343066,0.002,0,1
Pimreg,2.303343066,0.002,0,1
Kcng4,2.30316798,0.002,0,1
Banf2os,2.297104951,0.002,0,1
Stpg3,2.296297837,0.002,0,1
Vmn2r90,2.294374715,0.002,0,1
Paqr6,2.293526759,0.002,0,1
Rdh9,2.289905916,0.044,0.013,0.037279031
Treh,2.289801154,0.002,0,1
Edn1,2.282259272,0.002,0,1
Scarf2,2.278630865,0.002,0,1
Emp2,2.277457331,0.033,0.007,0.009414067
Pspn,2.275025841,0.002,0,1
Tent5a,2.27192222,0.003,0.001,1
Chrdl1,2.271354664,0.002,0,1
Olfr904,2.270572631,0.002,0,1
Serpinb1a,2.270572631,0.002,0,1
Dmrta1,2.270461091,0.002,0,1
Vmn1r72,2.263631822,0.002,0,1
Epgn,2.263436054,0.002,0,1
Olfr365,2.254894869,0.002,0,1
Lrg1,2.252753811,0.002,0,1
Vmn1r60,2.252711999,0.002,0,1
Crhbp,2.247741131,0.002,0,1
Gdf7,2.247433491,0.002,0,1
Nfatc1,2.247331023,0.002,0,1
Pcdh12,2.247331023,0.002,0,1
Ppp3r2,2.247331023,0.002,0,1
Slc25a24,2.243272488,0.01,0.004,1
Foxn4,2.241795287,0.002,0,1
Aadac,2.238643533,0.002,0,1
Sytl5,2.227217954,0.002,0,1
Spint4,2.22645999,0.002,0,1
Col6a6,2.226448762,0.013,0.003,1
Ppp1r14d,2.226119634,0.002,0,1
Rom1,2.221828554,0.002,0,1
Gpr65,2.213907642,0.002,0,1
Pbp2,2.212757715,0.002,0,1
Rnf151,2.212757715,0.002,0,1
Crx,2.207103727,0.002,0,1
Olfr164,2.207103727,0.002,0,1
Map7d3,2.204818666,0.002,0,1
Htr3b,2.19947733,0.002,0,1
Il2ra,2.19947733,0.002,0,1
Olfr1173,2.199222633,0.002,0,1
Oas3,2.198253476,0.003,0.002,1
Bcl3,2.194799737,0.002,0,1
Olfr472,2.189134291,0.002,0,1
Rtl8c,2.184603994,0.002,0,1
Adgrf5,2.184077595,0.002,0,1
Nlrp6,2.184077595,0.002,0,1
Unc5cl,2.183458147,0.003,0.002,1
Fzd1,2.18271125,0.002,0,1
Mfrp,2.18271125,0.002,0,1
Ttc24,2.18271125,0.002,0,1
C87499,2.181352777,0.002,0,1
Platr1,2.181352777,0.002,0,1
Ap5b1,2.178208052,0.002,0,1
Sh3bp2,2.17565572,0.015,0.004,1
Bcas1os2,2.174494167,0.003,0.001,1
Kcna3,2.173180922,0.008,0.003,1
Smim3,2.173020607,0.007,0.004,1
Ccl1,2.172442056,0.005,0.002,1
Hoxb6,2.172058203,0.002,0,1
C78283,2.171604615,0.002,0,1
Olfr1286,2.167087697,0.002,0,1
Akr1c14,2.166880449,0.002,0,1
Olfr1129,2.166880449,0.002,0,1
Camk2n2,2.165490172,0.043,0.011,0.008845904
Musk,2.164569143,0.002,0,1
Zfp467,2.16437881,0.002,0,1
Cpa5,2.162949114,0.002,0,1
Pinlyp,2.159069489,0.01,0.004,1
Zfp473,2.153299605,0.01,0.003,1
Ly6g5b,2.153076647,0.002,0,1
Cyp3a57,2.146105359,0.002,0,1
Siglech,2.146105359,0.002,0,1
