"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","27/443","208/17619",2.73319626919841e-12,1.22720512487009e-08,1.07975637876859e-08,"Cadm1/Magi2/Cdh10/Mdga2/Nrcam/Pcdh19/Fat3/Cntn5/Lrrc4c/Cadm2/Tenm2/Tenm1/Cdh24/Pcdh17/Robo1/Ptprt/Pcdh10/Il1rap/Grid2/Gpc4/Epha3/Emb/Cdh8/Cdh6/Cdh4/Cdh11/Dscaml1",27
"GO:0034329","BP","GO:0034329","cell junction assembly","40/443","476/17619",2.44206999159451e-11,3.99649536545306e-08,3.51631628333028e-08,"Adgrl2/Zdhhc2/Cadm1/Magi2/Syndig1/Cdh10/Mdga2/Ephb1/Nphp4/Cntn5/Lingo2/Cdh24/Npas4/Ugt8a/Pcdh17/Lzts1/Robo1/Ptprj/Prkca/Enpp2/Ntrk3/Ntrk2/Nrp1/Lrrn3/Il1rap/Grid2/Gpc4/Gabrb2/Gabra1/Ephb3/Epha7/Epha3/Epb41l3/Cdh8/Cdh6/Cdh4/Cdh11/Bdnf/Asic2/Gabra5",40
"GO:0007416","BP","GO:0007416","synapse assembly","27/443","229/17619",2.67026416399981e-11,3.99649536545306e-08,3.51631628333028e-08,"Adgrl2/Zdhhc2/Cadm1/Magi2/Syndig1/Mdga2/Ephb1/Cntn5/Lingo2/Npas4/Pcdh17/Lzts1/Robo1/Prkca/Ntrk3/Ntrk2/Lrrn3/Il1rap/Grid2/Gpc4/Gabrb2/Gabra1/Ephb3/Epha7/Bdnf/Asic2/Gabra5",27
"GO:0042391","BP","GO:0042391","regulation of membrane potential","39/443","486/17619",1.72935906044188e-10,1.94120554534601e-07,1.70796961943115e-07,"Pid1/Cnih3/Kcnip1/Pex5l/Cacna1h/Kcnd3/Gria3/Rgs7bp/Nrcam/Abat/Cacna1i/Npas4/Trpc4/Sez6/Slc25a36/Prkce/Ntrk3/Ntrk2/Kcnh7/Kcnh3/Kcnh1/Grin2a/Grid2/Gabrb2/Gabra1/Kcnn2/Cacng2/Cacnb4/Cacna2d1/Cacna1g/Bdnf/Atp1a1/Rims2/Adrb1/Adra1a/Asic2/Slc8a3/Gabra5/Kcnq3",39
"GO:0050807","BP","GO:0050807","regulation of synapse organization","29/443","308/17619",1.11563643974098e-09,1.0018415228874e-06,8.81470222810084e-07,"Adgrl2/Magi2/Syndig1/Cdkl5/Mdga2/Nrcam/Cttnbp2/Ephb1/Homer1/Lingo2/Zfp804a/Abhd17a/Lzts1/Robo1/Ptprt/Prkca/Ntrk3/Ntrk2/Cntnap4/Lrrn3/Il1rap/Grid2/Gpc4/Ephb3/Epha7/Cdh8/Bdnf/Asic2/Etv5",29
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","29/443","315/17619",1.8780496479262e-09,1.20463470274124e-06,1.05989779378452e-06,"Adgrl2/Magi2/Syndig1/Cdkl5/Mdga2/Nrcam/Cttnbp2/Ephb1/Homer1/Lingo2/Zfp804a/Abhd17a/Lzts1/Robo1/Ptprt/Prkca/Ntrk3/Ntrk2/Cntnap4/Lrrn3/Il1rap/Grid2/Gpc4/Ephb3/Epha7/Cdh8/Bdnf/Asic2/Etv5",29
"GO:0099560","BP","GO:0099560","synaptic membrane adhesion","10/443","36/17619",1.29192255135651e-08,7.2509153194884e-06,6.3797175463697e-06,"Cadm1/Magi2/Cdh10/Mdga2/Lrrc4c/Pcdh17/Il1rap/Gpc4/Epha3/Cdh6",10
"GO:0035249","BP","GO:0035249","synaptic transmission, glutamatergic","17/443","127/17619",1.99262326747749e-08,9.9409760788599e-06,8.74656739513802e-06,"Cnih3/Gria3/Unc13a/Homer1/Shc3/Ntrk2/Htr2a/Grm8/Grin2a/Grid2/Cdh8/Cckbr/Cacng2/Cacnb4/Grm5/Grm3/Dgkz",17
"GO:1901890","BP","GO:1901890","positive regulation of cell junction assembly","17/443","131/17619",3.1906680890204e-08,1.30237270179106e-05,1.14589256823862e-05,"Adgrl2/Syndig1/Ephb1/Nphp4/Lingo2/Ptprj/Prkca/Enpp2/Ntrk3/Ntrk2/Nrp1/Lrrn3/Il1rap/Grid2/Ephb3/Bdnf/Asic2",17
"GO:0007411","BP","GO:0007411","axon guidance","22/443","243/17619",2.33984720373698e-07,7.50422424627075e-05,6.60259139520668e-05,"Lgi1/Diaph2/Nrcam/Ephb1/Cntn5/Tenm2/Sema6d/Slit3/Robo1/Nrp1/Nr4a3/Etv1/Ephb3/Epha7/Epha3/Emb/Cdh4/Bdnf/Boc/Dscaml1/Chn1/Lgr4",22
