,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Sample
GO:0022904,BP,GO:0022904,respiratory electron transport chain,19/963,88/17619,2.13730887784027e-07,0.000929828,0.000929828,Immp2l/Ndufv3/Etfrf1/Ndufa10/Uqcr11/Uqcrh/Ndufa12/Ndufb9/Cox7b/Mtch2/Ppargc1a/Ndufv1/Ndufs4/Cox8a/Cox7c/Cox7a2/Cox5a/Cox4i1/Etfa,19,IC_1d
GO:0022900,BP,GO:0022900,electron transport chain,20/963,99/17619,3.25512917124931e-07,0.000929828,0.000929828,Immp2l/Ndufv3/Etfrf1/Ndufa10/Uqcr11/Uqcrh/Ndufb3/Ndufa12/Ndufb9/Cox7b/Mtch2/Ppargc1a/Ndufv1/Ndufs4/Cox8a/Cox7c/Cox7a2/Cox5a/Cox4i1/Etfa,20,IC_1d
GO:0007416,BP,GO:0007416,synapse assembly,32/963,229/17619,9.84622257003379e-07,0.001875049,0.001875049,Slitrk1/Rap2a/Lrrtm1/Flrt3/Cadm1/Sdcbp/Magi2/Syndig1/Flrt2/Flrt1/Lrrc24/Mdga2/Lrtm1/Cntn5/Lingo2/C1ql3/Lrrc4/Prkca/Mef2c/Lrrn3/Lrrn1/Elavl2/Grid2/Gabrg2/Gabra3/Fgf13/Ephb3/Epha7/Cdh9/Asic2/Gabra5/Nrg2,32,IC_1d
GO:0099560,BP,GO:0099560,synaptic membrane adhesion,10/963,36/17619,1.56904896614883e-05,0.014939961,0.014939961,Ntng1/Slitrk1/Flrt3/Cadm1/Magi2/Cdh10/Mdga2/Lrrc4/Epha3/Cdh9,10,IC_1d
GO:0005746,CC,GO:0005746,mitochondrial respirasome,18/961,73/17738,4.47986737646395e-08,1.82079412340975e-05,1.72004842967183e-05,Ndufv3/Ndufa11/Ndufa10/Uqcr11/Uqcrh/Ndufb3/Ndufa12/Ndufb9/Cox7b/Ndufv1/Ndufs4/Ndufa4/Cox8a/Cox7c/Cox7a2/Cox6c/Cox5a/Cox4i1,18,IC_1d
GO:0098803,CC,GO:0098803,respiratory chain complex,18/961,75/17738,7.0284789522909e-08,1.82079412340975e-05,1.72004842967183e-05,Ndufv3/Ndufa11/Ndufa10/Uqcr11/Uqcrh/Ndufb3/Ndufa12/Ndufb9/Cox7b/Ndufv1/Ndufs4/Ndufa4/Cox8a/Cox7c/Cox7a2/Cox6c/Cox5a/Cox4i1,18,IC_1d
GO:0098800,CC,GO:0098800,inner mito.. membr. prot. complex,22/961,111/17738,1.03954852991024e-07,1.82079412340975e-05,1.72004842967183e-05,Immp2l/Ndufv3/Ndufa11/Dnajc19/Ndufa10/Uqcr11/Uqcrh/Immp1l/Ndufb3/Ndufa12/Ndufb9/Cox7b/Timm23/Ndufv1/Ndufs4/Ndufa4/Cox8a/Cox7c/Cox7a2/Cox6c/Cox5a/Cox4i1,22,IC_1d
GO:0005743,CC,GO:0005743,mitochondrial inner membrane,56/961,494/17738,1.33168598531549e-07,1.82079412340975e-05,1.72004842967183e-05,Kmo/Mrpl43/Immp2l/Ndufv3/Ckmt2/Slc25a16/Pgam5/Bdh1/Mpc2/Ndufa11/Cox11/Samm50/Sirt5/Dnajc19/Mrpl18/Ndufa10/Mrpl42/Oma1/Slc25a23/Bcs1l/Uqcr11/Uqcrh/Immp1l/Ndufb3/Ndufa12/Mrps21/Tmem126a/Ndufb9/Cox7b/Sirt3/Mtch2/Abcb10/Timm23/Mrpl2/Chdh/Prodh/Mrpl40/Ndufv1/Ndufs4/Ndufa4/Lyn/Ldhb/Mrps33/Fech/Cyp11a1/Cox8a/Cox7c/Cox7a2/Cox6c/Cox5a/Cox4i1/Ckmt1/Slc25a4/Alas2/Abcb7/Pet100,56,IC_1d
GO:1902495,CC,GO:1902495,transmemb. transporter complex,49/961,408/17738,1.43151177448195e-07,1.82079412340975e-05,1.72004842967183e-05,Kcnb2/Sacm1l/Kcnip4/Ndufv3/Shisa9/Kcnip1/Ndufa11/Nrn1/Ndufa10/Uqcr11/Uqcrh/Ndufb3/Ndufa12/Ndufb9/Trpv6/Cacna2d2/Gria3/Scn4b/Shisa6/Vwc2/Kcng1/Lrrc55/Trpc6/Trpc3/Scn9a/Ryr1/Pde4b/Ndufv1/Ndufs4/Ndufa4/Kcnj3/Kcnh3/Kcnh1/Kcnd2/Kcnab1/Hcn2/Grid2/Gria4/Glrb/Gabrg2/Gabrd/Gabra3/Clcn2/Cacng2/Cacna1g/Cacna1d/Chrna7/Gabra5/Kcnj13,49,IC_1d
GO:0070469,CC,GO:0070469,respirasome,18/961,79/17738,1.64777748724864e-07,1.82079412340975e-05,1.72004842967183e-05,Ndufv3/Ndufa11/Ndufa10/Uqcr11/Uqcrh/Ndufb3/Ndufa12/Ndufb9/Cox7b/Ndufv1/Ndufs4/Ndufa4/Cox8a/Cox7c/Cox7a2/Cox6c/Cox5a/Cox4i1,18,IC_1d
GO:0007416,BP,GO:0007416,synapse assembly,35/971,229/17619,3.98532393646149e-08,0.000238402,0.000226828,Slitrk1/Lrrtm1/Flrt3/Kirrel3/Magi2/Flrt2/Flrt1/Il1rapl1/Hapln4/Lrtm1/Cntn5/Lingo2/C1ql3/Npas4/Lzts1/Robo1/Lrrc4/Prkca/Mef2c/Lrrn3/Lrrn1/Il1rap/Elavl2/Grid2/Gpc4/Gabrg2/Gabra3/Gabra1/Fgf13/Ephb3/Epha7/Efnb2/Bdnf/Gabra5/Nrg2,35,IC_3d
GO:0035249,BP,GO:0035249,"synaptic transmission, glutamatergic",24/971,127/17619,9.89078613902214e-08,0.000295833,0.000281471,Kmo/Cnih3/Slc17a7/Cacng3/Gria3/Unc13a/Plppr4/Serpine2/Shc3/Mef2c/Htr2a/Htr1b/Grm8/Nr3c1/Grin2b/Grin2a/Grid2/Gria2/Cdh8/Cckbr/Cacng2/Grm5/Grm3/Dgkz,24,IC_3d
GO:0042391,BP,GO:0042391,reg. of membrane potential,54/971,486/17619,7.20610088977278e-07,0.001133127,0.001078115,Pid1/Cnih3/Slc17a7/Kcnip1/Pex5l/Cacna1h/Npff/Gria3/Rgs7bp/Scn4b/Adcy10/Shank1/Cacna1i/Npas4/Trpc4/Ctnna3/Plk2/Cx3cl1/Scn9a/Scn1a/Rgs4/Ptn/Oprm1/Mef2c/Smad7/Kcnh7/Kcnj9/Kcnh3/Kcnd2/Kcna4/Kcna2/Hcn2/Grin2b/Grin2a/Grid2/Gabrg2/Gabrd/Gabra3/Gabra1/Fgf13/Kcnn2/Dmd/Chrm1/Cck/Calm3/Cacng2/Cacna1d/Bdnf/Bcl2/Atp1a1/Adrb1/Chrna4/Gabra5/Chchd10,54,IC_3d
GO:0034329,BP,GO:0034329,cell junction assembly,53/971,476/17619,8.56091699814325e-07,0.001133127,0.001078115,Slitrk1/Lrrtm1/Dusp3/Flrt3/Kirrel3/Hdac7/Magi2/Whamm/Flrt2/Flrt1/Il1rapl1/Hapln4/Cdh10/Lrtm1/Cntn5/Lingo2/Cdh7/Cdh24/C1ql3/Npas4/Ugt8a/Tek/Lzts1/Sh3bp1/Robo1/Ptprk/Lrrc4/Prkca/Enpp2/Mef2c/Smad7/Lrrn3/Lrrn1/Il1rap/Elavl2/Grid2/Gpc4/Gabrg2/Gabra3/Gabra1/Flot1/Fgf13/Ephb3/Epha7/Epb41l3/Efnb2/Cdh8/Cdh6/Cdh11/Bdnf/Bcl2/Gabra5/Nrg2,53,IC_3d
GO:0050806,BP,GO:0050806,pos. reg. of synaptic transmission,30/971,205/17619,9.47114171505856e-07,0.001133127,0.001078115,Kmo/Lrrtm1/Mir124-2hg/Nrgn/Lgi1/Cacng3/Unc13a/Mir124a-1hg/Prrt1/Shisa7/Serpine2/Plk2/Slc1a1/S100b/Rab3a/Ptn/Ptger4/Prkcg/Hmgcr/Hap1/Grin2b/Grin2a/Gria2/Flot1/Cx3cr1/Cckbr/Car7/Cacng2/Adrb1/Adcy8,30,IC_3d
GO:0098742,BP,GO:0098742,cell-cell adhesion via plasma-memb.,30/971,208/17619,1.2925533215198e-06,0.001288676,0.001226112,Ntng1/Slitrk1/Flrt3/Kirrel3/Magi2/Il1rapl1/Cdh10/Pcdh19/Fat3/Ceacam2/Ceacam1/Cntn5/Cdh7/Cadm2/Tenm2/Tenm1/Cdh24/Igsf21/Cx3cl1/Robo1/Lrrc4/Pcdh10/Il1rap/Grid2/Gpc4/Dab1/Cdh8/Cdh6/Cdh11/Alcam,30,IC_3d
