X,avg_log2FC,pct.1,pct.2,p_val_adj
Marc1,0.319050374,0.58,0.448,0.015995314
Marc2,0,0,0,1
A1bg,-0.407332099,0,0.002,1
A1cf,1.329146202,0.013,0.004,1
A26c2,2.205842792,0.047,0.016,0.015313298
A2m,4.56857337,0.01,0,0.003996602
A2ml1,0.435958317,0.037,0.022,1
A3galt2,0.963975868,0.016,0.005,1
A4galt,1.700863885,0.007,0.001,1
A4gnt,-1.434866976,0,0.002,1
Aaas,0.161699182,0.153,0.111,1
Aacs,0.668768137,0.431,0.26,1.65819E-11
Aadac,0,0,0,1
Aadacl2,0,0,0,1
Aadacl3,0,0,0,1
Aadacl4,0,0,0,1
Aadat,-0.273469389,0.001,0.003,1
Aaed1,0,0,0,1
Aagab,-1.23929326,0.429,0.64,1.4266E-40
Aak1,0.99515198,0.984,0.947,4.2236E-154
Aamdc,0.001648628,0.272,0.254,1
Aamp,-0.423816845,0.215,0.228,1
Aanat,-0.281748198,0.028,0.035,1
Aar2,-0.038545388,0.202,0.153,1
Aard,0.330854715,0.027,0.016,1
Aars,0.874117471,0.607,0.379,1.39957E-24
Aars2,-0.027990848,0.161,0.141,1
Aarsd1,-0.989135115,0.198,0.314,9.19428E-08
Aasdh,-0.265237239,0.195,0.169,1
Aasdhppt,-0.36198421,0.107,0.114,1
Aass,0.056663011,0.01,0.01,1
Aatf,0.410504942,0.636,0.508,0.000126814
Aatk,0.456031048,0.506,0.379,0.001946859
AB041806,-1.052679062,0.016,0.033,1
AB124611,-0.334439611,0.048,0.052,1
Abat,-0.200822552,0.407,0.401,1
Abca1,5.283273013,0.649,0.036,0
Abca12,-2.418798268,0.003,0.015,1
Abca13,-1.01556337,0.018,0.029,1
Abca14,0.893937538,0.018,0.007,1
Abca15,0.900939592,0.021,0.007,1
Abca16,1.280269678,0.004,0.001,1
Abca17,0.149650224,0.294,0.233,1
Abca2,-0.191126918,0.291,0.282,1
Abca3,0.671830096,0.801,0.598,3.35741E-25
Abca4,1.698224143,0.194,0.053,1.90566E-28
Abca5,1.247248506,0.818,0.521,2.80325E-80
Abca6,0.87623493,0.096,0.051,0.172201557
Abca7,-0.367757121,0.296,0.324,1
