"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","BP","GO:0009615","response to virus","22/279","352/17619",4.85645191165648e-08,0.000117701725064768,0.000102575259822853,"Trim34a/Zc3hav1/Ifih1/Rtp4/Nmi/Rsad2/Isg20/Lgals8/Irf7/Trim12c/Oasl2/Ddx60/Gbp7/Trim30d/Stat2/Stat1/Trim30a/Eif2ak2/Mmp12/Ifit1/Hsp90aa1/Isg15",22
"GO:0051607","BP","GO:0051607","defense response to virus","20/279","297/17619",5.98381927121343e-08,0.000117701725064768,0.000102575259822853,"Trim34a/Zc3hav1/Ifih1/Rtp4/Rsad2/Isg20/Irf7/Trim12c/Oasl2/Ddx60/Gbp7/Trim30d/Stat2/Stat1/Trim30a/Eif2ak2/Mmp12/Ifit1/Hsp90aa1/Isg15",20
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis","15/279","209/17619",1.26178566357867e-06,0.00135064060075981,0.00117706270213114,"Slc25a40/Slc7a11/Ypel4/Ikzf1/Tcea1/Stat1/Itgam/Inhba/Cd44/Casp3/Zfp36l1/Bcl2l11/Bcl6/B2m/Isg15",15
"GO:0048525","BP","GO:0048525","negative regulation of viral process","11/279","110/17619",1.3733000516114e-06,0.00135064060075981,0.00117706270213114,"Zc3hav1/Ifih1/Rsad2/Isg20/Trim12c/Oasl2/Trim30d/Stat1/Trim30a/Eif2ak2/Isg15",11
"GO:0032606","BP","GO:0032606","type I interferon production","11/279","128/17619",6.0966258687034e-06,0.00342630373821131,0.00298597149689729,"Zc3hav1/Ifih1/Nmi/Zbtb20/Irf7/Xaf1/Stat1/Mmp12/Irf9/Hsp90aa1/Isg15",11
"GO:0032647","BP","GO:0032647","regulation of interferon-alpha production","6/279","31/17619",7.88585411436676e-06,0.00387786876073985,0.00337950353295954,"Zc3hav1/Ifih1/Nmi/Irf7/Stat1/Mmp12",6
"GO:0030534","BP","GO:0030534","adult behavior","13/279","187/17619",9.18520302226817e-06,0.00401495429884477,0.00349897149047104,"Atp1a2/Klhl1/Cntnap2/Tsc1/Sdk1/Slc7a11/Tmod1/Pax5/Ntsr1/Ngf/Htr2c/Glra1/Adra1b",13
"GO:0014909","BP","GO:0014909","smooth muscle cell migration","10/279","116/17619",1.57318590766349e-05,0.00562628487340743,0.00490322153230621,"Abhd2/Nox4/Tmsb4x/Plat/Ddr2/Lpar1/Ddit3/Ddr1/Adamts1/Camk2d",10
"GO:0031331","BP","GO:0031331","positive regulation of cellular catabolic process","17/279","332/17619",2.35027556778924e-05,0.0077049867364024,0.00671477853007857,"Trim34a/Zc3hav1/Tsc1/Zbtb20/Slc4a4/Trim12c/Adcy10/Rgma/Daglb/Trim30d/Trim30a/Ddit3/Dcn/Btg2/Zfp36l1/Bcl2l11/Adra1b",17
"GO:0030218","BP","GO:0030218","erythrocyte differentiation","11/279","151/17619",2.91900746589049e-05,0.00820241097915227,0.00714827617774836,"Slc25a40/Ypel4/Ikzf1/Tcea1/Stat1/Inhba/Casp3/Zfp36l1/Bcl6/B2m/Isg15",11
"GO:0045088","BP","GO:0045088","regulation of innate immune response","20/279","457/17619",4.32598725586424e-05,0.010456425417958,0.00911261541387882,"Clec2d/Zc3hav1/Ifih1/Nmi/Cd274/Rsad2/Gbp3/Parp14/Irf7/Trim12c/Ddx60/Tnip2/Gbp7/Trim30d/Stat2/Trim30a/Eif2ak2/Mmp12/Hsp90aa1/Isg15",20
"GO:0051899","BP","GO:0051899","membrane depolarization","9/279","108/17619",5.47985353333661e-05,0.0107402106218693,0.00935992989469093,"Atp1a2/Adcy10/Scn9a/Ntsr1/Jun/Dcn/Col6a1/B2m/Camk2d",9
"GO:0070059","BP","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","7/279","65/17619",7.3569404621379e-05,0.0125835668600219,0.0109663867666742,"Chac1/Trib3/Bbc3/Eif2ak3/Ddit3/Casp3/Apaf1",7
"GO:2001235","BP","GO:2001235","positive regulation of apoptotic signaling pathway","11/279","170/17619",8.61181276865663e-05,0.0126168681183881,0.0109954083058866,"Tnfrsf12a/Adcy10/Ret/Pea15a/Bbc3/Inhba/Eif2ak3/Ddit3/Bcl2l11/Atf3/Apaf1",11
"GO:0007626","BP","GO:0007626","locomotory behavior","14/279","266/17619",9.23558149865407e-05,0.0126168681183881,0.0109954083058866,"Atp1a2/Klhl1/Cntnap2/Tsc1/Fign/Rcan2/Tmod1/Penk/Ntsr1/Ngf/Htr2c/Hexb/Glra1/Adra1b",14
