X,SCI,IC
Fgf1,-1.344493893,-5.359700444
Npas4,-0.200161629,-4.520207456
Etv1,-1.27748014,-4.07181561
Nr4a1,0.053293452,-3.778603782
Etv5,0.120353935,-3.738906017
Hcrtr2,0.511655864,-3.704927735
Ptpru,-0.253981295,-3.678970317
Neurod6,0.013456543,-3.630107433
Rspo2,-0.299125712,-3.565473094
Ryr1,-0.172240583,-3.453825884
Gask1b,-1.451234206,-3.38964036
Muc19,-0.218005118,-3.329570459
C7,-0.125059023,-3.313573317
Rph3a,-0.0525823,-3.260088287
Kcnf1,-0.277651551,-3.249667331
Pla2g4e,-0.451707413,-3.154009504
Dchs2,-0.16061442,-3.132366607
Per2,0.499818922,-3.079586678
Trib2,0.457428303,-3.067519117
Cd93,-0.225711314,-3.066828061
Aldh1a1,-0.917149721,-3.050277812
Cpb1,0.27716765,-3.025841425
Trhde,-0.132586853,-2.97578537
Hunk,-1.24668714,-2.955227822
Cwh43,-0.107529861,-2.953704135
Muc3a,-0.246668968,-2.881216559
Gpr150,-0.056135671,-2.825637987
Slain1os,-0.242591374,-2.682015993
Ptgs2os,0.087134343,-2.677776412
Spred3,0.069229095,-2.673939716
Pcsk1,0.127540371,-2.65392079
Dusp6,-0.235225115,-2.652414306
Htr1b,0.231903267,-2.60329251
Kcnip1,-0.139651664,-2.579966468
Prrg1,-0.801202283,-2.562373414
L3mbtl4,-0.672836675,-2.541522352
Lamp5,-0.513070877,-2.525014041
Asb11,-0.170382882,-2.510609775
Ptges3l,-0.022023568,-2.491058485
Tmem191c,0.024820324,-2.490310593
Chil5,-0.300839546,-2.476342878
Lin7b,-0.033431734,-2.474592551
Ciart,0.022619043,-2.443117192
Ankrd31,-0.428312117,-2.440733164
Rasl11b,0.013114234,-2.434157515
Trmt9b,-0.148718887,-2.429516508
Adrb1,-0.328114547,-2.408284872
Has2os,-0.204136924,-2.398732917
Adcy8,-0.074923027,-2.394244298
Cdh10,0.055161082,-2.361157329
Enpp1,0.013490533,-2.360256752
Rassf3,-0.864691749,-2.351150135
Cav1,-0.02976369,-2.345318966
Pifo,-0.011911159,-2.345004406
Tmprss4,0.133861038,-2.323211207
Nell1os,-0.364309452,-2.317829492
Egr4,0.203049991,-2.314725729
Slc1a2,-0.352686143,-2.312567839
Kcnv1,-0.360415987,-2.305487526
Zdhhc23,-0.388254185,-2.303941981
B4galnt3,-0.391758549,-2.295642123
Alk,-0.372779025,-2.289300722
Sorbs2os,-0.061277308,-2.252679485
Nr4a2,0.277503232,-2.234450377
Rasgrp2,-0.46526044,-2.223630557
Lsamp,-0.506761534,-2.221459604
Vmn2r7,-0.427942667,-2.198484307
Epha8,-0.315717045,-2.193445074
Lrrc75aos1,0.016791943,-2.185546846
Krt12,-0.738286988,-2.174940824
Lratd2,0.033961296,-2.165832971
Pnma3,-0.346601696,-2.125220542
Pglyrp1,-0.07272497,-2.122798448
Zfp46,-1.310307206,-2.122104304
Tox,-0.470438391,-2.107267141
Opn3,-1.337280088,-2.093932348
Lratd1,-0.181279503,-2.072877863
Vsnl1,-0.318039056,-2.071403769
Gria3,-0.235833402,-2.062688377
Robo1,0.032784418,-2.057847509
Cxcl17,0.03709253,-2.057360217
Agtr1b,0.202014494,-2.045274435
Shoc1,0.152681635,-2.040338246
Lingo3,0.092120623,-2.034926985
Cacng3,0.061340105,-2.034827313
Trpc6,-0.069756546,-2.026291002
Grm3,-0.480194817,-2.023669307
Lgr5,-0.140715006,-2.022050741
Spata32,0.19495978,-2.018950802
L3mbtl1,-0.152888331,-2.017974019
Klhl23,-0.75926023,-2.016326332
Prmt8,0.035581107,-2.013933825
Olfr1256,-0.141551106,-2.01028047
Spata16,0.040025368,-2.004993215
Hdac9,-0.445759449,-1.977860556
Ceacam2,-0.043818883,-1.956097639
Abra,-1.185247254,-1.950367146
Htr2a,0.195830218,-1.943649475
Csmd3,0.237628566,-1.94083184
Vxn,0.034783828,-1.937820874
Dlk2,-0.032955298,-1.928302137
Rhbdl1,0.011484107,-1.924177518
Lurap1l,0.005694642,-1.921891276
Fras1,-0.106246237,-1.917568034
Chml,-1.044639066,-1.916315985
Myo5c,-0.073979698,-1.908820462
Kcnj3,-0.414086566,-1.903696246
Adamts2,0.152225278,-1.898886055
Dbp,-0.059807832,-1.890719508
Ugt8a,-0.055840356,-1.87338046
Krt20,-0.124013695,-1.845190834
Usp46os2,-0.492682104,-1.842270806
Nkain3,-0.030805593,-1.841211255
Cdh8,-0.317769391,-1.838268559
C1ql3,0.027741642,-1.8329679
Ntng1,-0.079043377,-1.830044861
Rad51ap2,-0.397818817,-1.825869376
Dhrs13,-0.051615071,-1.817786238
Mgat4c,-0.356334596,-1.80491765
Ano5,-0.316459032,-1.80050326
Sowaha,-0.04729064,-1.797349777
Ncald,-0.208870414,-1.792026275
Asah2,-0.286503011,-1.786388383
Tnfrsf19,-0.035360843,-1.777809456
Itprid1,-0.201843093,-1.772198129
Ptchd4,-0.055020208,-1.772095277
Stum,-0.025420728,-1.75089569
Itga4,-0.359166357,-1.74657877
Wdr55,-0.308699229,-1.743578073
Pde10a,0.271184297,-1.743343477
Oxr1,-0.025720644,-1.742780403
Hlf,0.063836801,-1.733392908
Ephx4,0.101553168,-1.731601998
Abcd2,0.026271882,-1.729564369
Pter,-0.076428204,-1.725272445
Slitrk1,-0.409103462,-1.723504435
Agtr1a,0.026086061,-1.714328382
Osbpl3,0.100078713,-1.710091953
Cr2,-0.15874957,-1.705788103
Adgrv1,0.158877672,-1.698542021
Klhdc9,-0.356966074,-1.680060142
Tmprss7,-0.287840743,-1.676524921
Alcam,0.868440118,-1.675708757
Camkv,0.043436075,-1.674306238
Vrk2,-0.234203436,-1.6729851
