X,avg_log2FC,pct.1,pct.2,p_val_adj
Nox4,6.121005323,0.57,0.036,1.1762E-185
Iigp1,5.643582877,0.039,0.001,8.4141E-08
Hoga1,1.158783865,0.012,0.006,1
Smcp,6.081880187,0.223,0.004,4.40997E-68
Nr5a2,1.035822738,0.001,0.001,1
Ngf,5.758966457,0.194,0.006,5.95609E-55
Srgn,0.719065898,0.002,0.001,1
Col2a1,0.640955057,0.01,0.01,1
A4gnt,0.333839331,0.001,0.001,1
Fam178b,1.668134785,0.005,0.001,1
Rnase4,2.035030484,0.01,0.001,1
Tinag,0.418127122,0.005,0.005,1
Nr4a2,-2.234450377,0.012,0.067,7.3384E-05
Ecel1,5.155586077,0.435,0.021,2.3036E-134
Slc47a2,1.322105308,0.001,0.001,1
Myoz3,0.602758397,0.004,0.001,1
Slc28a2,5.009048569,0.118,0.006,1.51868E-29
Vtn,0.705836237,0.002,0.001,1
Ttc34,-1.310075669,0.001,0.007,1
Clec4b1,0,0,0,1
Vmn2r63,0.409458197,0.001,0.001,1
Vdr,0.030019748,0.006,0.004,1
Mageb4,-0.456195446,0,0.001,1
Hbb-bt,-0.065963056,0.001,0.002,1
Ccdc83,0.8720842,0.002,0.001,1
Gprc5a,0.651149516,0.001,0.001,1
Olfr472,1.126480162,0.004,0.001,1
Rsad2,4.658454006,0.049,0.004,2.77296E-09
Olfr366,0,0,0,1
Vmn1r180,0,0,0,1
Slc22a7,-0.272588105,0.005,0.008,1
Nkx2-2os,-0.582751851,0,0.004,1
Cyp4b1,0.471586045,0.001,0.002,1
Artn,0.049306504,0.001,0.003,1
Inhbb,4.360660666,0.14,0.008,1.26933E-34
Gstm7,1.684513875,0.005,0.001,1
Smim22,1.291369798,0.013,0.008,1
Vav1,2.103142992,0.004,0.001,1
Srarp,-0.156145557,0.001,0.003,1
Nuf2,-1.102343009,0,0.004,1
Ces1g,0,0,0,1
Col5a3,6.442962268,0.173,0.002,4.81327E-52
Serpinb1c,-0.011500266,0.005,0.005,1
Chrna10,0.55773218,0.001,0.001,1
Rab20,2.953558943,0.037,0.002,1.10173E-06
Nat8f4,2.021423202,0.006,0.003,1
Gpr37l1,0.916782669,0.006,0.003,1
Ms4a12,0.234685275,0,0.001,1
Card11,1.586588068,0.006,0.002,1
Dnajc5g,0,0,0,1
Galp,1.564134476,0.002,0,1
Galnt5,0.723753822,0.004,0.001,1
Sema3b,0.208651745,0.001,0.001,1
Naaladl1,-0.053567169,0.001,0.003,1
Tnfrsf1b,5.61499625,0.195,0.004,1.99431E-57
Fmnl3,4.856574583,0.286,0.014,1.21106E-80
Tbpl2,-0.965653696,0,0.003,1
Scara5,2.333334835,0.01,0.002,1
Acsm5,0,0,0,1
F13b,2.122986744,0.006,0.001,1
Ttc24,-0.90985168,0,0.004,1
Calr4,1.268568888,0.001,0.001,1
Olfr152,1.406528943,0.001,0,1
Olfr91,0,0,0,1
Ccdc68,1.72492906,0.004,0.001,1
Lrrc10b,2.215503572,0.013,0.002,1
Hrc,0.847136972,0.007,0.004,1
Vmn1r58,-0.915901941,0.001,0.006,1
Snx33,1.23323444,0.002,0.001,1
Epb41l4a,5.951902605,0.467,0.045,8.3301E-132
Tmbim7,-0.374416433,0,0.002,1
Gfy,0.995599334,0.002,0.002,1
Olfr30,-1.306317694,0,0.005,1
Gal,2.194176601,0.166,0.054,3.83848E-14
Tnni1,1.667668731,0.005,0.001,1
Anxa2,5.291740112,0.166,0.006,2.94956E-45
Ppp1r32,0.098308187,0.002,0.004,1
Vmn2r107,0.433274901,0.001,0.001,1
Crx,0,0,0,1
Plpp4,0.780153332,0.002,0.004,1
Fignl1,-0.501089143,0.002,0.003,1
Rdh9,0.253167457,0.022,0.016,1
Tm4sf1,5.364561655,0.296,0.015,3.05253E-84
Chrdl1,1.149712228,0.006,0.002,1
Trarg1,0.862073711,0.002,0.004,1
Gnat1,1.486744396,0.002,0.001,1
Slc22a29,2.291514028,0.006,0.001,1
Vipr2,1.434823396,0.011,0.004,1
Vmn2r16,0,0,0,1
Olfr670,0.287418716,0.001,0.001,1
Ms4a4b,0,0,0,1
Ret,5.464885498,0.572,0.033,5.8154E-187
Calhm1,0.046821589,0,0.001,1
Calhm6,-0.433530841,0.001,0.004,1
Npr1,0,0,0,1
Ms4a14,-0.067211128,0,0.001,1
Hand2os1,1.200225101,0.001,0.001,1
Ace2,0,0,0,1
Otos,0.439158296,0.002,0.004,1
Fas,0.410772207,0.001,0.001,1
Ccdc180,1.107356542,0.004,0.002,1
Gimap1,1.50010224,0.002,0.001,1
Haao,-1.139736878,0.004,0.008,1
Vmn1r28,0,0,0,1
Ankrd65,0.763640947,0.002,0.001,1
Rapgef3,1.306220714,0.004,0.003,1
Ces1e,0,0,0,1
Vgll2,-0.397762403,0.007,0.011,1
Cilp,1.060791532,0.004,0.001,1
Slco6d1,0,0,0,1
Stab1,2.620032633,0.011,0.001,1
Timd4,1.767994418,0.006,0.001,1
Lpar3,0.818043802,0.006,0.006,1
H2-M5,1.591346742,0.006,0.002,1
Lyz2,-1.319237145,0.001,0.006,1
Dcaf12l2,-0.073346492,0.001,0.002,1
Arhgap8,-0.21739134,0.001,0.004,1
Lce1a1,4.661870677,0.116,0.002,3.13642E-32
Platr12,0.863558322,0.005,0.002,1
Erbb3,0.304294612,0.001,0.002,1
Cdh26,-0.324877765,0,0.002,1
Themis3,0,0,0,1
Glrp1,0.998977212,0.001,0.001,1
Ccno,0.294910387,0.007,0.004,1
Olfr667,0,0,0,1
Upk3a,0,0,0,1
Olfr1254,0.53888084,0.002,0.002,1
Olfr1152,1.448506502,0.002,0,1
Sh2d1b1,0.132944398,0.001,0.002,1
Mlkl,2.483887616,0.006,0.001,1
Mtnr1b,1.142022488,0.004,0.001,1
Cd300lb,5.776493085,0.135,0.001,1.8226E-39
Olfr859,0.13536832,0,0.001,1
Stra8,0,0,0,1
Ndrg1,5.223788999,0.311,0.016,2.64867E-89
Acsf2,0.86488538,0.005,0.005,1
Pllp,0.616662885,0.006,0.004,1
Ikzf1,2.408606794,0.005,0.002,1
Slc17a2,0,0,0,1
Sprr1a,4.412417322,0.381,0.068,1.42092E-78
Cyp2f2,1.406725254,0.002,0.001,1
Insc,-0.282590036,0,0.002,1
Olfr410,0,0,0,1
Lpin3,2.24660975,0.008,0.002,1
Hs3st6,1.594345888,0.002,0.001,1
C1qa,0.687778792,0.007,0.006,1
Dusp9,1.082793099,0.013,0.006,1
Sec14l5,2.37587408,0.024,0.008,1
Frmd7,0.661602914,0.001,0.001,1
Tead4,2.046256017,0.024,0.007,1
Gp6,-0.132194102,0.001,0.004,1
Echdc3,1.268527568,0.001,0,1
Lefty2,0,0,0,1
Gpr152,0.908383664,0.001,0.001,1
Il4ra,5.253152922,0.104,0.002,3.30396E-28
Olfr372,-0.050511004,0.006,0.006,1
Plg,0.357976015,0.002,0.005,1
Slc39a5,0.444487677,0.002,0.004,1
Slmapos2,0.775623077,0.004,0.002,1
Pnliprp1,3.400289845,0.008,0,1
Treml4,1.814033873,0.011,0.004,1
Gsg1l2,0,0,0,1
Bhmt,-0.118868017,0.001,0.002,1
Tmem184a,0.113162129,0.001,0.001,1
Nkx6-1,0,0,0,1
Hc,1.526243376,0.014,0.001,1
Vwa5a,4.048860951,0.19,0.013,1.24706E-46
Tmppe,-0.832177273,0.002,0.005,1
Inhbc,-0.161243668,0.001,0.004,1
Ccdc114,2.484987642,0.01,0.001,1
Apol6,0.035296074,0,0.001,1
Gbp3,4.251850416,0.049,0.003,7.18316E-10
Mdfi,0.336124511,0.002,0.001,1
Sctr,0.971298035,0.001,0.001,1
Podn,0.342236894,0.006,0.008,1
Vmn1r6,0,0,0,1
Tlr5,1.370690263,0.002,0.001,1
Slco1b2,-0.010937985,0,0.001,1
Spaca7,0,0,0,1
Dcxr,1.795005482,0.01,0.001,1
Pou4f1,1.957794098,0.012,0.004,1
Adora3,0.558673921,0.001,0.001,1
Pkp3,0.262305764,0.01,0.007,1
Rnf122,5.269545363,0.394,0.02,1.3222E-118
Zfy2,-0.304629901,0,0.002,1
Adcy4,3.54081369,0.022,0.001,0.003925132
Plk5,-1.539114327,0,0.006,1
Drc7,0.82733337,0.008,0.006,1
Spint3,0,0,0,1
Olfr365,1.545322838,0.002,0,1
Tfap2b,0.147762377,0.001,0.002,1
Chrnb3,-0.981271181,0.002,0.008,1
Tmem182,2.354701018,0.008,0.001,1
Egr4,-2.314725729,0.039,0.195,8.29832E-21
Myoz2,0.182961472,0.005,0.006,1
Cd86,2.06725062,0.006,0.002,1
Nde1,1.28568541,0.013,0.006,1
Gpx2,-0.098933576,0.004,0.004,1
Rab44,0,0,0,1
Olfr898,0,0,0,1
Vmn1r72,0,0,0,1
Trim30a,5.387965931,0.245,0.018,1.695E-62
Prr15l,1.452376518,0.004,0.001,1
Atf3,5.851265406,0.571,0.042,4.6253E-181
H2-Q4,3.486480865,0.014,0.001,1
H2-T3,0,0,0,1
Aqp12,2.047216007,0.004,0,1
Olfr1033,0.198796576,0.001,0.001,1
Fat2,-0.501130358,0.011,0.017,1
Vmn2r13,0,0,0,1
Wdr63,4.941421999,0.13,0.005,3.10148E-34
Spata13,5.384315654,0.466,0.036,1.4728E-136
Troap,1.50469267,0.008,0.002,1
Olfr639,0.70358099,0.004,0.002,1
Adra2a,0.56737488,0.002,0.002,1
Akna,2.12178731,0.002,0,1
Gbp7,5.020722314,0.119,0.004,3.07934E-31
Olfr1156,-0.818828909,0.008,0.014,1
Scn11a,-0.285709991,0.002,0.005,1
Padi3,2.55248165,0.008,0.001,1
Olfr374,-1.385918952,0.001,0.006,1
Cfhr1,0,0,0,1
Pax2,2.66875907,0.011,0.001,1
Plekhg2,5.369157727,0.133,0.003,4.01832E-37
Muc16,0.332926455,0.001,0.003,1
Plekhg3,2.04953899,0.006,0.002,1
Cd44,5.498770514,0.407,0.022,1.5163E-122
Tent5a,1.413611868,0.001,0,1
Hsf3,0.871325925,0.002,0.002,1
Il13ra1,5.496401206,0.257,0.008,4.63987E-76
Cysltr1,0.401037513,0.001,0.002,1
Gjc3,0.416246847,0.007,0.006,1
