X,avg_log2FC,pct.1,pct.2,p_val_adj
Nox4,0.227277761,0.036,0.036,1
Iigp1,-0.001427091,0.001,0.001,1
Hoga1,-0.57546703,0.002,0.006,1
Smcp,-0.57310166,0.001,0.004,1
Nr5a2,0.654413333,0.002,0.001,1
Ngf,0.283768838,0.006,0.006,1
Srgn,0.481650208,0.002,0.001,1
Col2a1,0.017518806,0.008,0.01,1
A4gnt,0.858811458,0.001,0.001,1
Fam178b,2.324233675,0.006,0.001,1
Rnase4,-0.209024165,0,0.001,1
Tinag,0.557949758,0.007,0.005,1
Nr4a2,0.555006465,0.071,0.067,1
Ecel1,0.165385622,0.029,0.021,1
Slc47a2,0.725163215,0.001,0.001,1
Myoz3,0.504985483,0.003,0.001,1
Slc28a2,-0.962493581,0.001,0.006,1
Vtn,-0.433219924,0,0.001,1
Ttc34,-1.029004423,0.001,0.007,1
Clec4b1,0,0,0,1
Vmn2r63,0.02498285,0,0.001,1
Vdr,0.369331469,0.003,0.004,1
Mageb4,0.447252381,0.002,0.001,1
Hbb-bt,-1.181425778,0,0.002,1
Ccdc83,0.701516572,0.001,0.001,1
Gprc5a,1.765660196,0.005,0.001,1
Olfr472,0.790801617,0.003,0.001,1
Rsad2,1.146217236,0.006,0.004,1
Olfr366,1.344071394,0.002,0,1
Vmn1r180,0,0,0,1
Slc22a7,-0.130120323,0.005,0.008,1
Nkx2-2os,0.626493012,0.003,0.004,1
Cyp4b1,0.223458128,0.001,0.002,1
Artn,0.113358439,0.001,0.003,1
Inhbb,0.059156615,0.005,0.008,1
Gstm7,1.285785537,0.002,0.001,1
Smim22,1.539488015,0.018,0.008,1
Vav1,0.350832356,0,0.001,1
Srarp,0.834021069,0.003,0.003,1
Nuf2,-0.818540931,0.001,0.004,1
Ces1g,0,0,0,1
Col5a3,1.682209004,0.006,0.002,1
Serpinb1c,-0.067310417,0.003,0.005,1
Chrna10,-0.347275381,0,0.001,1
Rab20,-0.088966692,0.002,0.002,1
Nat8f4,0.325651832,0.005,0.003,1
Gpr37l1,0.095367631,0.002,0.003,1
Ms4a12,0.823683304,0.001,0.001,1
Card11,-0.204948724,0,0.002,1
Dnajc5g,0,0,0,1
Galp,1.089637971,0.001,0,1
Galnt5,-0.263669567,0.001,0.001,1
Sema3b,-0.306373369,0,0.001,1
Naaladl1,0.055730662,0.002,0.003,1
Tnfrsf1b,0.924957109,0.009,0.004,1
Fmnl3,0.461491234,0.019,0.014,1
Tbpl2,-1.045119203,0,0.003,1
Scara5,0.115243683,0.001,0.002,1
Acsm5,0,0,0,1
F13b,0.359918613,0,0.001,1
Ttc24,-0.721717913,0.001,0.004,1
Calr4,1.815303226,0.006,0.001,1
Olfr152,1.204050667,0.002,0,1
Olfr91,0,0,0,1
Ccdc68,0.378740905,0.001,0.001,1
Lrrc10b,0.164754204,0.002,0.002,1
Hrc,1.010608586,0.003,0.004,1
Vmn1r58,0.72264333,0.007,0.006,1
Snx33,0.37868355,0,0.001,1
Epb41l4a,0.26165687,0.049,0.045,1
Tmbim7,0.290404176,0.002,0.002,1
Gfy,0.222562239,0.002,0.002,1
Olfr30,-0.454311792,0.002,0.005,1
Gal,0.184867178,0.06,0.054,1
Tnni1,1.991444981,0.006,0.001,1
Anxa2,0.863437519,0.009,0.006,1
Ppp1r32,-0.822172334,0,0.004,1
Vmn2r107,-0.056286713,0,0.001,1
Crx,0,0,0,1
Plpp4,0.579268229,0.005,0.004,1
Fignl1,0.098208567,0.003,0.003,1
Rdh9,-1.058078626,0.009,0.016,1
Tm4sf1,0.849379642,0.025,0.015,1
Chrdl1,1.838346772,0.009,0.002,1
Trarg1,0.007339586,0.002,0.004,1
Gnat1,-0.126323045,0,0.001,1
Slc22a29,0.315670796,0,0.001,1
Vipr2,0.919812384,0.006,0.004,1
Vmn2r16,0,0,0,1
Olfr670,0.45932792,0.002,0.001,1
Ms4a4b,0,0,0,1
Ret,0.60253146,0.046,0.033,1
Calhm1,0.678005275,0.002,0.001,1
Calhm6,0.250342182,0.003,0.004,1
Npr1,0,0,0,1
Ms4a14,-0.146676634,0,0.001,1
Hand2os1,0.781360866,0.001,0.001,1
Ace2,0,0,0,1
Otos,1.558507921,0.008,0.004,1
Fas,-0.138502489,0,0.001,1
Ccdc180,0.007039867,0.001,0.002,1
Gimap1,1.80121986,0.003,0.001,1
Haao,-0.087003307,0.006,0.008,1
Vmn1r28,0,0,0,1
Ankrd65,0.327563651,0.001,0.001,1
Rapgef3,1.021872875,0.002,0.003,1
Ces1e,0,0,0,1
Vgll2,-0.358477616,0.01,0.011,1
Cilp,0.802533066,0.003,0.001,1
Slco6d1,0,0,0,1
Stab1,1.532109973,0.001,0.001,1
Timd4,0.71910981,0.001,0.001,1
Lpar3,-0.633502217,0.001,0.006,1
H2-M5,-0.766988532,0,0.002,1
Lyz2,0.309189612,0.006,0.006,1
Dcaf12l2,0.819668476,0.003,0.002,1
Arhgap8,-0.707375887,0,0.004,1
Lce1a1,-1.180571774,0,0.002,1
Platr12,-0.294727699,0,0.002,1
Erbb3,0.096899701,0.001,0.002,1
Cdh26,-0.404343271,0,0.002,1
Themis3,0,0,0,1
Glrp1,1.241123231,0.003,0.001,1
Ccno,-0.461992537,0.002,0.004,1
Olfr667,0,0,0,1
Upk3a,0,0,0,1
Olfr1254,0.12590997,0.001,0.002,1
Olfr1152,1.234753746,0.001,0,1
Sh2d1b1,0.739344306,0.001,0.002,1
Mlkl,0.366141336,0,0.001,1
Mtnr1b,0.728155607,0.001,0.001,1
Cd300lb,0.47201875,0.002,0.001,1
Olfr859,1.009476733,0.003,0.001,1
Stra8,0,0,0,1
Ndrg1,0.427633862,0.017,0.016,1
Acsf2,-0.01762292,0.005,0.005,1
Pllp,0.829998303,0.008,0.004,1
Ikzf1,0.4888242,0.002,0.002,1
Slc17a2,0,0,0,1
Sprr1a,0.02582141,0.067,0.068,1
Cyp2f2,0.162566236,0.001,0.001,1
Insc,0.782429949,0.002,0.002,1
Olfr410,0,0,0,1
Lpin3,1.54910358,0.005,0.002,1
Hs3st6,0.068919508,0,0.001,1
C1qa,-0.38769195,0.003,0.006,1
Dusp9,0.564390324,0.006,0.006,1
Sec14l5,0.083839572,0.007,0.008,1
Frmd7,0.962836788,0.002,0.001,1
Tead4,0.921077778,0.013,0.007,1
Gp6,-0.225652124,0.001,0.004,1
Echdc3,1.831402033,0.002,0,1
Lefty2,0,0,0,1
Gpr152,1.059455801,0.002,0.001,1
Il4ra,0.706501833,0.002,0.002,1
Olfr372,-0.078118344,0.006,0.006,1
Plg,-0.355997096,0.003,0.005,1
Slc39a5,0.240616512,0.003,0.004,1
Slmapos2,0.541085905,0.002,0.002,1
Pnliprp1,1.66352262,0.002,0,1
Treml4,1.054286627,0.006,0.004,1
Gsg1l2,0,0,0,1
Bhmt,-0.529211363,0,0.002,1
Tmem184a,-0.378902801,0,0.001,1
Nkx6-1,0,0,0,1
Hc,0.86965868,0.006,0.001,1
Vwa5a,-0.532858798,0.01,0.013,1
Tmppe,0.08793428,0.005,0.005,1
Inhbc,0.56213311,0.003,0.004,1
Ccdc114,1.299361517,0.005,0.001,1
Apol6,0.290127661,0.001,0.001,1
Gbp3,-0.052026274,0.002,0.003,1
Mdfi,0.800541923,0.001,0.001,1
Sctr,1.022671008,0.001,0.001,1
Podn,-1.015565673,0.001,0.008,1
Vmn1r6,0,0,0,1
Tlr5,-0.030869209,0.001,0.001,1
Slco1b2,0.680871741,0.002,0.001,1
Spaca7,0,0,0,1
Dcxr,-0.567821146,0,0.001,1
Pou4f1,-0.672493704,0.001,0.004,1
Adora3,0.418593292,0.001,0.001,1
Pkp3,-0.58592966,0.003,0.007,1
Rnf122,-0.100200096,0.016,0.02,1
Zfy2,-0.080361733,0.001,0.002,1
Adcy4,0.106568276,0,0.001,1
Plk5,0.189653626,0.005,0.006,1
Drc7,-0.050300622,0.006,0.006,1
Spint3,0,0,0,1
Olfr365,1.254207491,0.002,0,1
Tfap2b,0.108273211,0.001,0.002,1
Chrnb3,-0.752423421,0.005,0.008,1
Tmem182,0.629386711,0.001,0.001,1
Egr4,0.406099982,0.213,0.195,1
Myoz2,-0.301416792,0.003,0.006,1
Cd86,0.623061058,0.003,0.002,1
Nde1,-0.84505589,0.002,0.006,1
Gpx2,-0.038453626,0.003,0.004,1
Rab44,0,0,0,1
Olfr898,0,0,0,1
Vmn1r72,0,0,0,1
Trim30a,0.494150224,0.024,0.018,1
Prr15l,0.726846217,0.002,0.001,1
Atf3,0.044884518,0.046,0.042,1
H2-Q4,0.796774357,0.001,0.001,1
H2-T3,0,0,0,1
Aqp12,1.053703192,0.001,0,1
Olfr1033,0.226659636,0.001,0.001,1
Fat2,-0.23245184,0.014,0.017,1
Vmn2r13,0,0,0,1
Wdr63,-0.015233499,0.006,0.005,1
Spata13,0.435416917,0.047,0.036,1
Troap,0.691784462,0.003,0.002,1
Olfr639,-0.259046934,0.001,0.002,1
Adra2a,0.881248242,0.002,0.002,1
Akna,0,0,0,1
Gbp7,0.093866802,0.006,0.004,1
Olfr1156,0.071969011,0.017,0.014,1
Scn11a,0.076976448,0.003,0.005,1
Padi3,0.411971908,0.001,0.001,1
Olfr374,-1.309789493,0.002,0.006,1
Cfhr1,0,0,0,1
Pax2,0.898823819,0.001,0.001,1
Plekhg2,0.399985138,0.003,0.003,1
Muc16,-0.352716388,0,0.003,1
Plekhg3,0.695954188,0.003,0.002,1
Cd44,0.376948785,0.025,0.022,1
Tent5a,1.289763522,0.002,0,1
Hsf3,0.65157349,0.002,0.002,1
Il13ra1,0.392245449,0.008,0.008,1
Cysltr1,0.112182749,0.002,0.002,1
Gjc3,0.696802168,0.006,0.006,1
Frmpd1os,0.193852016,0.005,0.004,1
Cym,-0.088371287,0.006,0.006,1
Vwc2l,-0.099911276,0.007,0.008,1
Ube2d2b,2.065193036,0.006,0,1
Hpx,-0.210405861,0.001,0.003,1
Btbd18,0,0,0,1
Fam122c,0,0,0,1
Gjd3,-0.834445638,0.001,0.004,1
Fadd,-0.34889041,0.003,0.005,1
Slurp1,-0.72772406,0.001,0.005,1
Mst1,0,0,0,1
Pou2f3,0.036409276,0.002,0.004,1
Clic1,-0.192902377,0.011,0.011,1
Prok1,-0.065295847,0.006,0.006,1
Slc45a2,1.001564301,0.005,0.003,1
Mutyh,0.923632397,0.021,0.012,1
Glis3,0.716915887,0.095,0.084,1
Platr1,-0.164759686,0.003,0.002,1
Nlrp6,0,0,0,1
Fmo1,2.280318673,0.006,0.001,1
Ttc29,1.221836458,0.002,0.001,1
Ms4a6d,1.348188579,0.007,0.003,1
Il20ra,1.397618377,0.005,0.001,1
Nkx6-2,0.912830228,0.002,0.001,1
